Key,Remarks,vip,rechargeCount,powerCount,moneyCount,copyCount,mopupCount,sportBuyCount,skillPointCount,expeditionCount,battleTowerResetTimes,goldMopupOpen,buySkillPointOpen,peakSportResetCDOpen,onekeyMopupTenOpen,onekeyAddSpiritOpen,everSpecialStore1Open,everSpecialStore2Open,thirdChestsOpen,arenaResetCDOpen,arenaResetTimes,peakArenaResetTimes,trial1CopyResetTimes,trial2CopyResetTimes,warfareCopyResetTimes,towerResetTime,copyCelestal,secretCopyCount,fashionBuyOpen,resignOpen,battleRate,desc,colorPattern1,colorPattern2,VIPIcon,VIPPicture
0,,,,9999,9999,9999,20,9999,30,9999,9999,1,1,1,1,1,1,1,1,1,,9999,9999,9999,9999,9999,9999,4,1,1,3,,ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_01.png,Noble/Noble_01.png
1,,1,60,9999,9999,9999,25,9999,40,9999,9999,1,1,1,1,1,1,1,1,1,,9999,9999,9999,9999,9999,9999,4,1,1,3,[c1]每天可购买体力[-][c2]2[-][c1]次[-]_[c1]每天可使用点金手[-][c2]3[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]25[-][c1]张[-]_[c1]技能点上限增加至[-][c2]40[-][c1]点[-]_[c1]解锁[-][c2]购买技能点[-][c1]功能[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_12.png,Noble/Noble_01.png
2,,2,300,9999,9999,9999,30,9999,42,9999,9999,1,1,1,1,1,1,1,1,1,,9999,9999,9999,9999,9999,9999,4,1,1,3,[c1]每天可购买体力[-][c2]3[-][c1]次[-]_[c1]每天可使用点金手[-][c2]5[-][c1]次[-]_[c1]每天可重置精英副本[-][c2]1[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]30[-][c1]张[-]_[c1]技能点上限增加至[-][c2]42[-][c1]点[-]_[c1]解锁[-][c2]补签[-][c1]功能[-]_[c1]每天可重置聚宝之地[-][c2]1[-][c1]次[-]_[c1]每天可重置炼气山谷[-][c2]1[-][c1]次[-]_[c1]每天可重置生存炼境[-][c2]1[-][c1]次[-]_[c1]每天可购买心魔录挑战次数[-][c2]1[-][c1]次[-]_[c1]解锁[-][c2]举报玩家[-][c1]功能[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_11.png,Noble/Noble_02.png
3,,3,600,9999,9999,9999,35,9999,44,9999,9999,1,1,1,1,1,1,1,1,1,,9999,9999,9999,9999,9999,9999,4,1,1,3,[c1]每天可购买体力[-][c2]4[-][c1]次[-]_[c1]每天可使用点金手[-][c2]8[-][c1]次[-]_[c1]每天可重置精英副本[-][c2]1[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]35[-][c1]张[-]_[c1]技能点上限增加至[-][c2]44[-][c1]点[-]_[c1]每天可购买竞技场门票[-][c2]5[-][c1]张[-]_[c1]每天可购买巅峰竞技场门票[-][c2]5[-][c1]张[-]_[c1]解锁[-][c2]重置竞技场CD[-][c1]功能[-]_[c1]解锁[-][c2]时装购买[-][c1]功能[-]_[c1]解锁[-][c2]重置巅峰竞技场CD[-][c1]功能[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_03.png,Noble/Noble_03.png
4,,4,1000,9999,9999,9999,40,9999,46,9999,9999,1,1,1,1,1,1,1,1,1,,9999,9999,9999,9999,9999,9999,4,1,1,3,[c1]每天可购买体力[-][c2]5[-][c1]次[-]_[c1]每天可使用点金手[-][c2]12[-][c1]次[-]_[c1]每天可重置精英副本[-][c2]2[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]40[-][c1]张[-]_[c1]技能点上限增加至[-][c2]46[-][c1]点[-]_[c1]每天可购买竞技场门票[-][c2]10[-][c1]张[-]_[c1]每天可购买巅峰竞技场门票[-][c2]10[-][c1]张[-]_[c1]解锁[-][c2]扫荡十次[-][c1]功能[-]_[c1]解锁[-][c2]战斗3倍加速[-][c1]功能[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_05.png,Noble/Noble_04.png
5,,5,2000,9999,9999,9999,45,9999,48,9999,9999,1,1,1,1,1,1,1,1,1,,9999,9999,9999,9999,9999,9999,4,1,1,3,[c1]每天可购买体力[-][c2]6[-][c1]次[-]_[c1]每天可使用点金手[-][c2]16[-][c1]次[-]_[c1]每天可重置精英副本[-][c2]3[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]45[-][c1]张[-]_[c1]技能点上限增加至[-][c2]48[-][c1]点[-]_[c1]每天可购买竞技场门票[-][c2]15[-][c1]张[-]_[c1]每天可购买巅峰竞技场门票[-][c2]15[-][c1]张[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_04.png,Noble/Noble_05.png
6,,6,3000,9999,9999,9999,50,9999,50,9999,9999,1,1,1,1,1,1,1,1,1,,9999,9999,9999,9999,9999,9999,4,1,1,3,[c1]每天可购买体力[-][c2]7[-][c1]次[-]_[c1]每天可使用点金手[-][c2]20[-][c1]次[-]_[c1]每天可重置精英副本[-][c2]3[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]50[-][c1]张[-]_[c1]技能点上限增加至[-][c2]50[-][c1]点[-]_[c1]每天可购买竞技场门票[-][c2]20[-][c1]张[-]_[c1]每天可购买巅峰竞技场门票[-][c2]20[-][c1]张[-]_[c1]每天可重置聚宝之地[-][c2]2[-][c1]次[-]_[c1]每天可重置炼气山谷[-][c2]2[-][c1]次[-]_[c1]每天可重置生存炼境[-][c2]2[-][c1]次[-]_[c1]每天可购买心魔录挑战次数[-][c2]2[-][c1]次[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_13.png,Noble/Noble_06.png
7,,7,5000,9999,9999,9999,55,9999,52,9999,9999,1,1,1,1,1,1,1,1,1,,9999,9999,9999,9999,9999,9999,4,1,1,3,[c1]每天可购买体力[-][c2]8[-][c1]次[-]_[c1]每天可使用点金手[-][c2]25[-][c1]次[-]_[c1]每天可重置精英副本[-][c2]3[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]55[-][c1]张[-]_[c1]技能点上限增加至[-][c2]52[-][c1]点[-]_[c1]每天可购买竞技场门票[-][c2]25[-][c1]张[-]_[c1]每天可购买巅峰竞技场门票[-][c2]25[-][c1]张[-]_[c1]可同时探索帮派秘境[-][c2]4[-][c1]座[-]_[c1]永久开启[-][c2]云游商人[-][c1]功能[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_04.png,Noble/Noble_07.png
8,,8,7000,9999,9999,9999,60,9999,54,9999,9999,1,1,1,1,1,1,1,1,1,,9999,9999,9999,9999,9999,9999,4,1,1,3,[c1]每天可购买体力[-][c2]9[-][c1]次[-]_[c1]每天可使用点金手[-][c2]30[-][c1]次[-]_[c1]每天可重置精英副本[-][c2]3[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]60[-][c1]张[-]_[c1]技能点上限增加至[-][c2]54[-][c1]点[-]_[c1]每天可购买竞技场门票[-][c2]30[-][c1]张[-]_[c1]每天可购买巅峰竞技场门票[-][c2]30[-][c1]张[-]_[c1]每天可重置万仙阵[-][c2]2[-][c1]次[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_10.png,Noble/Noble_06.png
9,,9,10000,9999,9999,9999,65,9999,56,9999,9999,1,1,1,1,1,1,1,1,1,,9999,9999,9999,9999,9999,9999,4,1,1,3,[c1]每天可购买体力[-][c2]10[-][c1]次[-]_[c1]每天可使用点金手[-][c2]35[-][c1]次[-]_[c1]每天可重置精英副本[-][c2]3[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]65[-][c1]张[-]_[c1]技能点上限增加至[-][c2]56[-][c1]点[-]_[c1]每天可购买竞技场门票[-][c2]35[-][c1]张[-]_[c1]每天可购买巅峰竞技场门票[-][c2]35[-][c1]张[-]_[c1]解锁[-][c2]高级经验丹购买[-][c1]功能[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_02.png,Noble/Noble_08.png
