Key,Remarks,id,aptitude,goods
1001,,1001,1,603701_1
1002,,1002,2,603701_1
1003,,1003,3,603701_1
1004,,1004,4,603701_1
1005,,1005,5,603701_1
1006,,1006,6,603701_1
1007,,1007,7,603701_1
1008,,1008,8,603701_1
1009,,1009,9,603701_1
1010,,1010,10,603701_1
1011,,1011,11,603601_1
1012,,1012,12,603601_1
1013,,1013,13,603601_1
1014,,1014,14,603601_1
1015,,1015,15,603601_1
1016,,1016,16,603601_1
1017,,1017,17,603601_1
1018,,1018,18,603601_1
1019,,1019,19,603601_1
1020,,1020,20,603601_1
1021,,1021,21,603801_1
1022,,1022,22,603801_1
1023,,1023,23,603801_1
1024,,1024,24,603801_1
1025,,1025,25,603801_1
1026,,1026,26,603801_1
1027,,1027,27,603801_1
1028,,1028,28,603801_1
1029,,1029,29,603801_1
1030,,1030,30,603801_1
