key,Remarks,roleId,nextRoleId,roleType,sex,modelId,camp,name,imageId,atlas,battleIcon,positionType,careerType,soulStoneId,volumeRadius,goodAt,bustImage,summonFlag,summonNumber,risingNumber,title,titleIcon,transform,heroDesc,heroIllustrate,order,group,starLevel,energy,life,intelligence,attack,physiqueDef,spiritDef,hit,dodge,critical,toughness,lifeReceive,energyReceive,attackVampire,criticalHurt,energyPerSecond,energyTrans,energyTransFactor,attackEnergy,beatenEnergy,struckEnergy,attackDistance,attackSpeed,moveSpeed,viewRange,lifeGrowUp,attackGrowUp,physicqueDefGrowUp,spiritDefGrowUp,attackType,attrData,precentAttrData,growUp,attrDesc,attackId,skillId01,skillId02,skillId03,skillId04,skillId05,dieSkillId,qualityId,nameIcon,upNeedCoin,voice,reactionTime,attackHurt,cutHurt,cutCritHurt,resist,addCure,cutCure,doHurt,hardStraight,actionName,soundName,canShow,statInfo,physiqueAttack,spiritAttack,pAttackGrowUp,sAttackGrowUp,ff1,ff2
100001_1,,100001_1,100001_2,1,1,100001,,新手男,Hero_head/head_hero_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_hero,,,708001,1,学习,hero_end,,,20,,JiaoBiao_Chu,8,小镇出生的少年，家乡被妖仙摧毁而踏上了复仇之路。体内隐藏着一种神秘的力量。,努力修炼吧！少年,29,,1,1000,542,11,101,33,27,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,1,,5.5,"1,000",8620,1616,538,431,,能量_1000;生命_542;物理攻击_101;法术攻击_31;物理防御_33;法术防御_27;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;攻击距离_1;移动速度_5.5;视野范围_1000,,生命成长_8620;物攻成长_1616;法攻成长_693;物防成长_538;法防成长_431,,10000100_1,10000101_1,10000102_1,10000103_1,10000104_1,,,100001_1,,1000,sound_100001_1_1.mp3,0.9,,,,,,,,0.5,standby,,1,新手;0.67;0.67;0.67,101,81,1616,1293,,物理
100001_2,,100001_2,100001_3,1,1,100001,,新手男,Hero_head/head_hero_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_hero,,,708001,1,学习,hero_end,,,30,,JiaoBiao_Chu,21,小镇出生的少年，家乡被妖仙摧毁而踏上了复仇之路。体内隐藏着一种神秘的力量。,努力修炼吧！少年,29,,2,1000,542,11,101,33,27,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,1,,5.5,"1,000",13557,2542,847,677,,能量_1000;生命_542;物理攻击_101;法术攻击_31;物理防御_33;法术防御_27;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;攻击距离_1;移动速度_5.5;视野范围_1000,,生命成长_13557;物攻成长_2542;法攻成长_1233;物防成长_847;法防成长_677,,10000100_1,10000101_1,10000102_1,10000103_1,10000104_1,,,100001_1,,2000,sound_100001_1_1.mp3,0.9,,,,,,,,0.5,standby,,1,新手;0.67;0.67;0.67,101,81,2542,2033,,物理
100001_3,,100001_3,100001_4,1,1,100001,,新手男,Hero_head/head_hero_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_hero,,,708001,1,学习,hero_end,,,80,,JiaoBiao_Chu,36,小镇出生的少年，家乡被妖仙摧毁而踏上了复仇之路。体内隐藏着一种神秘的力量。,努力修炼吧！少年,29,,3,1000,542,11,101,33,27,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,1,,5.5,"1,000",17906,3357,1119,895,,能量_1000;生命_542;物理攻击_101;法术攻击_81;物理防御_33;法术防御_27;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;攻击距离_1;移动速度_5.5;视野范围_1000,,生命成长_17906;物攻成长_3357;法攻成长_2686;物防成长_1119;法防成长_895,,10000100_1,10000101_1,10000102_1,10000103_1,10000104_1,,,100001_1,,3000,sound_100001_1_1.mp3,0.9,,,,,,,,0.5,standby,,1,新手;0.67;0.67;0.67,101,81,3357,2686,,物理
100001_4,,100001_4,100001_5,1,1,100001,,新手男,Hero_head/head_hero_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_hero,,,708001,1,学习,hero_end,,,160,,JiaoBiao_Chu,70,小镇出生的少年，家乡被妖仙摧毁而踏上了复仇之路。体内隐藏着一种神秘的力量。,努力修炼吧！少年,29,,4,1000,542,11,101,33,27,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,1,,5.5,"1,000",23823,4466,1488,1191,,能量_1000;生命_542;物理攻击_101;法术攻击_81;物理防御_33;法术防御_27;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;攻击距离_1;移动速度_5.5;视野范围_1000,,生命成长_23823;物攻成长_4466;法攻成长_3573;物防成长_1488;法防成长_1191,,10000100_1,10000101_1,10000102_1,10000103_1,10000104_1,,,100001_1,,4000,sound_100001_1_1.mp3,0.9,,,,,,,,0.5,standby,,1,新手;0.67;0.67;0.67,101,81,4466,3573,,物理
100001_5,,100001_5,100001_6,1,1,100001,,新手男,Hero_head/head_hero_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_hero,,,708001,1,学习,hero_end,,,240,,JiaoBiao_Chu,120,小镇出生的少年，家乡被妖仙摧毁而踏上了复仇之路。体内隐藏着一种神秘的力量。,努力修炼吧！少年,29,,5,1000,542,11,101,33,27,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,1,,5.5,"1,000",29779,5583,1861,1488,,能量_1000;生命_542;物理攻击_101;法术攻击_81;物理防御_33;法术防御_27;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;攻击距离_1;移动速度_5.5;视野范围_1000,,生命成长_29779;物攻成长_5583;法攻成长_4466;物防成长_1861;法防成长_1488,,10000100_1,10000101_1,10000102_1,10000103_1,10000104_1,,,100001_1,,5000,sound_100001_1_1.mp3,0.9,,,,,,,,0.5,standby,,1,新手;0.67;0.67;0.67,101,81,5583,4466,,物理
100001_6,,100001_6,100001_7,1,1,100001,,新手男,Hero_head/head_hero_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_hero,,,708001,1,学习,hero_end,,,360,,JiaoBiao_Chu,216,小镇出生的少年，家乡被妖仙摧毁而踏上了复仇之路。体内隐藏着一种神秘的力量。,努力修炼吧！少年,29,,6,1000,542,11,101,33,27,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,1,,5.5,"1,000",35774,6707,2235,1788,,能量_1000;生命_542;物理攻击_101;法术攻击_81;物理防御_33;法术防御_27;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;攻击距离_1;移动速度_5.5;视野范围_1000,,生命成长_35774;物攻成长_6707;法攻成长_5366;物防成长_2235;法防成长_1788,,10000100_1,10000101_1,10000102_1,10000103_1,10000104_1,,,100001_1,,6000,sound_100001_1_1.mp3,0.9,,,,,,,,0.5,standby,,1,新手;0.67;0.67;0.67,101,81,6707,5366,,物理
100001_7,,100001_7,,1,1,100001,,新手男,Hero_head/head_hero_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_hero,,,708001,1,学习,hero_end,,,,,JiaoBiao_Chu,360,小镇出生的少年，家乡被妖仙摧毁而踏上了复仇之路。体内隐藏着一种神秘的力量。,努力修炼吧！少年,29,,7,1000,542,11,101,33,27,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,1,,5.5,"1,000",41730,7824,2608,2086,,能量_1000;生命_542;物理攻击_101;法术攻击_81;物理防御_33;法术防御_27;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;攻击距离_1;移动速度_5.5;视野范围_1000,,生命成长_41730;物攻成长_7824;法攻成长_6259;物防成长_2608;法防成长_2086,,10000100_1,10000101_1,10000102_1,10000103_1,10000104_1,,,100001_1,,7000,sound_100001_1_1.mp3,0.9,,,,,,,,0.5,standby,,1,新手;0.67;0.67;0.67,101,81,7824,6259,,物理
101001_1,,101001_1,101001_2,1,,101001,,新手女,Hero_head/head_heroine_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_heroine,,,708001,1,学习,hero_end_01,,,20,,JiaoBiao_Chu,8,小镇出生的少女，家乡被妖仙摧毁而踏上了复仇之路。体内隐藏着一种神秘的力量。,努力修炼吧！少女,29,,1,1000,542,11,101,33,27,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,1,,5.5,"1,000",8620,1616,538,431,,能量_1000;生命_542;物理攻击_101;法术攻击_31;物理防御_33;法术防御_27;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;攻击距离_1;移动速度_5.5;视野范围_1000,,生命成长_8620;物攻成长_1616;法攻成长_693;物防成长_538;法防成长_431,,10100100_1,10100101_1,10100102_1,10100103_1,10100104_1,,,101001_1,,1000,sound_101001_1_1.mp3,0.9,,,,,,,,0.5,standby,,1,新手;0.67;0.67;0.67,101,81,1616,1293,,物理
101001_2,,101001_2,101001_3,1,,101001,,新手女,Hero_head/head_heroine_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_heroine,,,708001,1,学习,hero_end_01,,,30,,JiaoBiao_Chu,21,小镇出生的少女，家乡被妖仙摧毁而踏上了复仇之路。体内隐藏着一种神秘的力量。,努力修炼吧！少女,29,,2,1000,542,11,101,33,27,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,1,,5.5,"1,000",13557,2542,847,677,,能量_1000;生命_542;物理攻击_101;法术攻击_31;物理防御_33;法术防御_27;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;攻击距离_1;移动速度_5.5;视野范围_1000,,生命成长_13557;物攻成长_2542;法攻成长_1233;物防成长_847;法防成长_677,,10100100_1,10100101_1,10100102_1,10100103_1,10100104_1,,,101001_1,,2000,sound_101001_1_1.mp3,0.9,,,,,,,,0.5,standby,,1,新手;0.67;0.67;0.67,101,81,2542,2033,,物理
101001_3,,101001_3,101001_4,1,,101001,,新手女,Hero_head/head_heroine_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_heroine,,,708001,1,学习,hero_end_01,,,80,,JiaoBiao_Chu,36,小镇出生的少女，家乡被妖仙摧毁而踏上了复仇之路。体内隐藏着一种神秘的力量。,努力修炼吧！少女,29,,3,1000,542,11,101,33,27,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,1,,5.5,"1,000",17906,3357,1119,895,,能量_1000;生命_542;物理攻击_101;法术攻击_81;物理防御_33;法术防御_27;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;攻击距离_1;移动速度_5.5;视野范围_1000,,生命成长_17906;物攻成长_3357;法攻成长_2686;物防成长_1119;法防成长_895,,10100100_1,10100101_1,10100102_1,10100103_1,10100104_1,,,101001_1,,3000,sound_101001_1_1.mp3,0.9,,,,,,,,0.5,standby,,1,新手;0.67;0.67;0.67,101,81,3357,2686,,物理
