key,Remarks,id,preId,nextId,quality,needExp,needCoin,attriPercent,starLevel
1000,,1000,,1001,1,120,,,
1001,,1001,1000,1002,1,130,,500,1
1002,,1002,1001,1003,1,140,,1000,2
1003,,1003,1002,1004,1,150,,1500,3
1004,,1004,1003,1005,1,160,,2000,4
1005,,1005,1004,1006,1,170,,2500,5
1006,,1006,1005,1007,1,180,,3000,6
1007,,1007,1006,1008,1,190,,3500,7
1008,,1008,1007,1009,1,200,,4000,8
1009,,1009,1008,1010,1,210,,4500,9
1010,,1010,1009,,1,,,5000,10
2000,,2000,,2001,2,120,,,
2001,,2001,2000,2002,2,130,,222,1
2002,,2002,2001,2003,2,140,,444,2
2003,,2003,2002,2004,2,150,,666,3
2004,,2004,2003,2005,2,160,,888,4
2005,,2005,2004,2006,2,170,,1110,5
2006,,2006,2005,2007,2,180,,1332,6
2007,,2007,2006,2008,2,190,,1554,7
2008,,2008,2007,2009,2,200,,1776,8
2009,,2009,2008,2010,2,210,,1998,9
2010,,2010,2009,2011,2,220,,2220,10
2011,,2011,2010,2012,2,229,,2442,11
2012,,2012,2011,2013,2,240,,2664,12
2013,,2013,2012,2014,2,250,,2886,13
2014,,2014,2013,2015,2,260,,3108,14
2015,,2015,2014,2016,2,270,,3330,15
2016,,2016,2015,2017,2,280,,3552,16
2017,,2017,2016,2018,2,290,,3774,17
2018,,2018,2017,2019,2,300,,3996,18
2019,,2019,2018,2020,2,310,,4218,19
2020,,2020,2019,2021,2,320,,4440,20
2021,,2021,2020,2022,2,330,,4662,21
2022,,2022,2021,2023,2,340,,4884,22
2023,,2023,2022,2024,2,350,,5106,23
2024,,2024,2023,2025,2,360,,5328,24
2025,,2025,2024,2026,2,370,,5550,25
2026,,2026,2025,2027,2,380,,5772,26
2027,,2027,2026,2028,2,390,,5994,27
2028,,2028,2027,2029,2,400,,6216,28
2029,,2029,2028,2030,2,409,,6438,29
2030,,2030,2029,2031,2,420,,6660,30
2031,,2031,2030,2032,2,430,,6882,31
2032,,2032,2031,2033,2,440,,7104,32
2033,,2033,2032,2034,2,450,,7326,33
2034,,2034,2033,2035,2,459,,7548,34
2035,,2035,2034,2036,2,470,,7770,35
2036,,2036,2035,2037,2,480,,7992,36
2037,,2037,2036,2038,2,490,,8214,37
2038,,2038,2037,2039,2,500,,8436,38
2039,,2039,2038,2040,2,509,,8658,39
2040,,2040,2039,2041,2,520,,8880,40
2041,,2041,2040,2042,2,530,,9102,41
2042,,2042,2041,2043,2,540,,9324,42
2043,,2043,2042,2044,2,550,,9546,43
2044,,2044,2043,2045,2,560,,9768,44
2045,,2045,2044,2046,2,570,,9990,45
2046,,2046,2045,2047,2,580,,10212,46
2047,,2047,2046,2048,2,590,,10434,47
2048,,2048,2047,2049,2,600,,10656,48
2049,,2049,2048,2050,2,610,,10878,49
2050,,2050,2049,,2,,,11100,50
3000,,3000,,3001,3,120,,,
3001,,3001,3000,3002,3,130,,222,1
3002,,3002,3001,3003,3,140,,444,2
3003,,3003,3002,3004,3,150,,666,3
3004,,3004,3003,3005,3,160,,888,4
3005,,3005,3004,3006,3,170,,1110,5
3006,,3006,3005,3007,3,180,,1332,6
3007,,3007,3006,3008,3,190,,1554,7
3008,,3008,3007,3009,3,200,,1776,8
3009,,3009,3008,3010,3,210,,1998,9
3010,,3010,3009,3011,3,220,,2220,10
3011,,3011,3010,3012,3,229,,2442,11
3012,,3012,3011,3013,3,240,,2664,12
3013,,3013,3012,3014,3,250,,2886,13
3014,,3014,3013,3015,3,260,,3108,14
3015,,3015,3014,3016,3,270,,3330,15
3016,,3016,3015,3017,3,280,,3552,16
3017,,3017,3016,3018,3,290,,3774,17
3018,,3018,3017,3019,3,300,,3996,18
3019,,3019,3018,3020,3,310,,4218,19
3020,,3020,3019,3021,3,320,,4440,20
3021,,3021,3020,3022,3,330,,4662,21
3022,,3022,3021,3023,3,340,,4884,22
3023,,3023,3022,3024,3,350,,5106,23
3024,,3024,3023,3025,3,360,,5328,24
3025,,3025,3024,3026,3,370,,5550,25
3026,,3026,3025,3027,3,380,,5772,26
3027,,3027,3026,3028,3,390,,5994,27
3028,,3028,3027,3029,3,400,,6216,28
3029,,3029,3028,3030,3,409,,6438,29
3030,,3030,3029,3031,3,420,,6660,30
3031,,3031,3030,3032,3,430,,6882,31
3032,,3032,3031,3033,3,440,,7104,32
3033,,3033,3032,3034,3,450,,7326,33
3034,,3034,3033,3035,3,459,,7548,34
3035,,3035,3034,3036,3,470,,7770,35
3036,,3036,3035,3037,3,480,,7992,36
3037,,3037,3036,3038,3,490,,8214,37
3038,,3038,3037,3039,3,500,,8436,38
3039,,3039,3038,3040,3,509,,8658,39
3040,,3040,3039,3041,3,520,,8880,40
3041,,3041,3040,3042,3,530,,9102,41
3042,,3042,3041,3043,3,540,,9324,42
3043,,3043,3042,3044,3,550,,9546,43
3044,,3044,3043,3045,3,560,,9768,44
3045,,3045,3044,3046,3,570,,9990,45
3046,,3046,3045,3047,3,580,,10212,46
3047,,3047,3046,3048,3,590,,10434,47
3048,,3048,3047,3049,3,600,,10656,48
3049,,3049,3048,3050,3,610,,10878,49
3050,,3050,3049,3051,3,630,,11100,50
3051,,3051,3050,3052,3,650,,11322,51
3052,,3052,3051,3053,3,670,,11544,52
3053,,3053,3052,3054,3,690,,11766,53
3054,,3054,3053,3055,3,710,,11988,54
3055,,3055,3054,3056,3,730,,12210,55
3056,,3056,3055,3057,3,750,,12432,56
3057,,3057,3056,3058,3,770,,12654,57
3058,,3058,3057,3059,3,790,,12876,58
3059,,3059,3058,3060,3,810,,13098,59
3060,,3060,3059,3061,3,830,,13320,60
3061,,3061,3060,3062,3,850,,13542,61
3062,,3062,3061,3063,3,869,,13764,62
3063,,3063,3062,3064,3,890,,13986,63
3064,,3064,3063,3065,3,910,,14208,64
3065,,3065,3064,3066,3,930,,14430,65
3066,,3066,3065,3067,3,950,,14652,66
3067,,3067,3066,3068,3,969,,14874,67
3068,,3068,3067,3069,3,990,,15096,68
3069,,3069,3068,3070,3,1010,,15318,69
3070,,3070,3069,,3,,,15540,70
4000,,4000,,4001,4,120,,,
4001,,4001,4000,4002,4,130,,222,1
4002,,4002,4001,4003,4,140,,444,2
4003,,4003,4002,4004,4,150,,666,3
4004,,4004,4003,4005,4,160,,888,4
4005,,4005,4004,4006,4,170,,1110,5
4006,,4006,4005,4007,4,180,,1332,6
4007,,4007,4006,4008,4,190,,1554,7
4008,,4008,4007,4009,4,200,,1776,8
4009,,4009,4008,4010,4,210,,1998,9
4010,,4010,4009,4011,4,220,,2220,10
4011,,4011,4010,4012,4,229,,2442,11
4012,,4012,4011,4013,4,240,,2664,12
4013,,4013,4012,4014,4,250,,2886,13
4014,,4014,4013,4015,4,260,,3108,14
4015,,4015,4014,4016,4,270,,3330,15
4016,,4016,4015,4017,4,280,,3552,16
4017,,4017,4016,4018,4,290,,3774,17
4018,,4018,4017,4019,4,300,,3996,18
4019,,4019,4018,4020,4,310,,4218,19
4020,,4020,4019,4021,4,320,,4440,20
4021,,4021,4020,4022,4,330,,4662,21
4022,,4022,4021,4023,4,340,,4884,22
4023,,4023,4022,4024,4,350,,5106,23
4024,,4024,4023,4025,4,360,,5328,24
4025,,4025,4024,4026,4,370,,5550,25
4026,,4026,4025,4027,4,380,,5772,26
4027,,4027,4026,4028,4,390,,5994,27
4028,,4028,4027,4029,4,400,,6216,28
4029,,4029,4028,4030,4,409,,6438,29
4030,,4030,4029,4031,4,420,,6660,30
4031,,4031,4030,4032,4,430,,6882,31
4032,,4032,4031,4033,4,440,,7104,32
4033,,4033,4032,4034,4,450,,7326,33
4034,,4034,4033,4035,4,459,,7548,34
4035,,4035,4034,4036,4,470,,7770,35
4036,,4036,4035,4037,4,480,,7992,36
4037,,4037,4036,4038,4,490,,8214,37
4038,,4038,4037,4039,4,500,,8436,38
4039,,4039,4038,4040,4,509,,8658,39
4040,,4040,4039,4041,4,520,,8880,40
4041,,4041,4040,4042,4,530,,9102,41
4042,,4042,4041,4043,4,540,,9324,42
4043,,4043,4042,4044,4,550,,9546,43
4044,,4044,4043,4045,4,560,,9768,44
4045,,4045,4044,4046,4,570,,9990,45
4046,,4046,4045,4047,4,580,,10212,46
4047,,4047,4046,4048,4,590,,10434,47
4048,,4048,4047,4049,4,600,,10656,48
4049,,4049,4048,4050,4,610,,10878,49
4050,,4050,4049,4051,4,630,,11100,50
4051,,4051,4050,4052,4,650,,11322,51
4052,,4052,4051,4053,4,670,,11544,52
4053,,4053,4052,4054,4,690,,11766,53
4054,,4054,4053,4055,4,710,,11988,54
4055,,4055,4054,4056,4,730,,12210,55
4056,,4056,4055,4057,4,750,,12432,56
4057,,4057,4056,4058,4,770,,12654,57
4058,,4058,4057,4059,4,790,,12876,58
4059,,4059,4058,4060,4,810,,13098,59
4060,,4060,4059,4061,4,830,,13320,60
4061,,4061,4060,4062,4,850,,13542,61
4062,,4062,4061,4063,4,869,,13764,62
4063,,4063,4062,4064,4,890,,13986,63
4064,,4064,4063,4065,4,910,,14208,64
4065,,4065,4064,4066,4,930,,14430,65
4066,,4066,4065,4067,4,950,,14652,66
4067,,4067,4066,4068,4,969,,14874,67
4068,,4068,4067,4069,4,990,,15096,68
4069,,4069,4068,4070,4,1010,,15318,69
4070,,4070,4069,4071,4,1050,,15540,70
4071,,4071,4070,4072,4,1090,,15762,71
4072,,4072,4071,4073,4,1130,,15984,72
4073,,4073,4072,4074,4,1170,,16206,73
4074,,4074,4073,4075,4,1210,,16428,74
4075,,4075,4074,4076,4,1250,,16650,75
4076,,4076,4075,4077,4,1290,,16872,76
4077,,4077,4076,4078,4,1330,,17094,77
4078,,4078,4077,4079,4,1370,,17316,78
4079,,4079,4078,4080,4,1410,,17538,79
4080,,4080,4079,4081,4,1450,,17760,80
4081,,4081,4080,4082,4,1490,,17982,81
4082,,4082,4081,4083,4,1530,,18204,82
4083,,4083,4082,4084,4,1570,,18426,83
4084,,4084,4083,4085,4,1610,,18648,84
4085,,4085,4084,4086,4,1650,,18870,85
4086,,4086,4085,4087,4,1689,,19092,86
4087,,4087,4086,4088,4,1730,,19314,87
4088,,4088,4087,4089,4,1770,,19536,88
4089,,4089,4088,4090,4,1810,,19758,89
4090,,4090,4089,,4,,,20000,90
