name,Remarks,threshold,buyTip,nomoreTip,enableTip
maxResetCount,,99,今日封神台重置次数已用完，提升到VIP6可以增加1次重置次数。,今日封神台重置次数已用完，大神，您已经无法再增加重置次数。,
sweepTimeDec,,300,,,
arrayMaxResetCnt,,99,今日万仙阵重置次数已用完，提升VIP等级可以增加重置次数。,今日万仙阵重置次数已用完，大神，您已经无法再增加重置次数。,VIP8开启重置万仙阵功能，充值可提升VIP等级。
warfareRewardAdd,,,,,
warfareResetCnt,,99,今日无尽战火重置次数已用完，提升VIP等级可以增加重置次数。,今日无尽战火重置次数已用完，大神，您已经无法再增加重置次数。,VIP8开启重置无尽战火功能，充值可提升VIP等级。
treasureTimeDec,,300,,,
treasureResetCnt,,99,今日聚宝之地重置次数已用完，提升VIP等级可以增加重置次数。,今日聚宝之地重置次数已用完，大神，您已经无法再增加重置次数。,VIP6开启重置聚宝之地功能，充值可提升VIP等级。
expTimeDec,,300,,,
expResetCnt,,99,今日炼气山谷重置次数已用完，提升VIP等级可以增加重置次数。,今日炼气山谷重置次数已用完，大神，您已经无法再增加重置次数。,VIP7开启重置炼气山谷功能，充值可提升VIP等级。
survivalTimeDec,,300,,,
survivalResetCnt,,99,今日生存幻境重置次数已用完，提升VIP等级可以增加重置次数。,今日生存幻境重置次数已用完，大神，您已经无法再增加重置次数。,VIP6开启重置生存幻境功能，充值可提升VIP等级。
