key,remarks,stageId,rank,reward
1,,1,1,"2_300,704002_5"
2,,2,2,"2_240,704002_4"
3,,3,3,"2_200,704002_3"
4,,4,4,"2_160,704002_3"
5,,5,5,"2_140,704002_3"
6,,6,10,"2_120,704002_3"
7,,7,15,"2_100,704002_3"
8,,8,20,"2_80,704002_2"
9,,9,25,"2_75,704002_2"
10,,10,35,"2_70,704002_2"
11,,11,45,"2_65,704002_2"
12,,12,60,"2_60,704002_2"
13,,13,95,"2_55,704002_2"
14,,14,125,"2_50,704002_2"
15,,15,160,"2_45,704002_2"
16,,16,240,"2_40,704002_2"
17,,17,320,"2_35,704002_2"
18,,18,400,"2_30,704002_2"
19,,19,600,"2_25,704002_2"
20,,20,800,"2_20,704002_2"
