id,remarks,id,offset,size,award,awardId
1,,1,1,1,"1~140000,806130~1",18001
2,,2,2,1,"1~130000,806131~1",18001
3,,3,3,1,"1~126400,806131~1",18001
4,,4,4,1,"1~124800,806132~1",18001
5,,5,5,1,"1~124000,806132~1",18001
6,,6,6,1,"1~123200,806132~1",18001
7,,7,7,1,"1~122800,806133~1",18001
8,,8,8,1,"1~122400,806133~1",18001
9,,9,9,1,"1~122000,806133~1",18001
10,,10,10,1,"1~122000,806133~1",18001
11,,11,11,1,"1~120000,806133~1",18001
12,,12,18,7,"1~112400,806134~1",18001
13,,13,25,7,"1~110000,806134~1",18001
14,,14,32,7,"1~108400,806134~1",18001
15,,15,39,7,"1~108000,806134~1",18001
16,,16,46,7,"1~107200,806134~1",18001
17,,17,53,7,"1~106800,806134~1",18001
18,,18,60,7,"1~106800,806134~1",18001
19,,19,67,7,"1~106400,806134~1",18001
20,,20,74,7,"1~106400,806134~1",18001
21,,21,81,7,"1~105000,806134~1",18001
22,,22,89,8,"1~97500,806135~1",18001
23,,23,97,8,"1~94800,806135~1",18001
24,,24,105,8,"1~93600,806135~1",18001
25,,25,113,8,"1~93000,806135~1",18001
26,,26,121,8,1~92400,18001
27,,27,129,8,1~92100,18001
28,,28,137,8,1~91800,18001
29,,29,145,8,1~91500,18001
30,,30,153,8,1~91500,18001
31,,31,161,8,1~90000,18001
32,,32,180,19,1~85000,18001
33,,33,199,19,1~83200,18001
34,,34,218,19,1~82400,18001
35,,35,237,19,1~82000,18001
36,,36,256,19,1~81600,18001
37,,37,275,19,1~81400,18001
38,,38,294,19,1~81200,18001
39,,39,313,19,1~81000,18001
40,,40,332,19,1~81000,18001
41,,41,351,19,1~80000,18001
42,,42,356,5,1~75000,18001
43,,43,361,5,1~73300,18001
44,,44,366,5,1~72500,18001
45,,45,371,5,1~72000,18001
46,,46,376,5,1~71650,18001
47,,47,381,5,1~71400,18001
48,,48,386,5,1~71250,18001
49,,49,391,5,1~71100,18001
50,,50,396,5,1~71000,18001
51,,51,401,5,1~70000,18001
52,,52,451,50,1~42000,18001
53,,53,501,50,1~32650,18001
54,,54,551,50,1~28000,18001
55,,55,601,50,1~25200,18001
56,,56,651,50,1~23300,18001
57,,57,701,50,1~22000,18001
58,,58,751,50,1~21000,18001
59,,59,801,50,1~20200,18001
60,,60,851,50,1~19600,18001
61,,61,901,50,1~19050,18001
62,,62,951,50,1~14000,18001
63,,63,1001,50,1~8400,18001
64,,64,1501,500,1~6500,18001
65,,65,2001,500,1~5600,18001
66,,66,2501,500,1~5000,18001
67,,67,3001,500,1~4650,18001
68,,68,3501,500,1~4400,18001
69,,69,4001,500,1~4200,18001
70,,70,4501,500,1~4000,18001
71,,71,5001,500,1~3900,18001
72,,72,5501,500,1~3800,18001
73,,73,6001,500,1~3700,18001
74,,74,6501,500,1~3650,18001
75,,75,7001,500,1~3600,18001
76,,76,7501,500,1~3500,18001
77,,77,8001,500,1~3500,18001
78,,78,8501,500,1~3450,18001
79,,79,9001,500,1~3400,18001
80,,80,9501,500,1~3350,18001
81,,81,10001,500,1~3350,18001
82,,82,14501,4500,1~3300,18001
83,,83,19001,4500,1~3300,18001
84,,84,23501,4500,1~3250,18001
85,,85,28001,4500,1~3250,18001
86,,86,32501,4500,1~3200,18001
87,,87,37001,4500,1~3200,18001
88,,88,41501,4500,1~3200,18001
89,,89,46001,4500,1~3200,18001
90,,90,50501,4500,1~3150,18001
91,,91,55001,4500,1~3150,18001
92,,92,59501,4500,1~3150,18001
93,,93,64001,4500,1~3150,18001
94,,94,68501,4500,1~3100,18001
95,,95,73001,4500,1~3100,18001
96,,96,77501,4500,1~3100,18001
97,,97,82001,4500,1~3100,18001
98,,98,86501,4500,1~3100,18001
99,,99,91001,4500,1~3050,18001
100,,100,95501,4500,1~2800,18001
101,,101,100000,4499,1~2500,18001
