id,remarks,id,bossName,preStartTimeStr,startTimeStr,endTimeStr,finishTimeStr,copyId,weekDay,killAttackAward,killAttackAwardId,position,rotation,scale,position2,rotation2,scale2
1001,,1001,ZT_HuangQuanLongYan,9:30,9:31,9:41,9:43,195001,1,"1~16800,806132~1",18003,-190,140,95,"51,-4,-6",-95,1.5
1002,,1002,ZT_MoYuanLingZhu,9:45,9:46,9:56,9:58,195002,1,"1~25200,806132~1",18003,-220,140,90,"49,-4,-6",-110,1.3
1003,,1003,ZT_LianYuYanLong,10:00,10:01,10:11,10:13,195003,1,"1~42000,806132~1",18003,-180,155,160,"51,0,-6",-100,2
1004,,1004,ZT_HuangQuanLongYan,10:15,10:16,10:26,10:28,195004,1,"1~16800,806132~1",18003,-190,140,95,"51,-4,-6",-95,1.5
1005,,1005,ZT_MoYuanLingZhu,10:30,10:31,10:41,10:43,195005,1,"1~25200,806132~1",18003,-220,140,90,"49,-4,-6",-110,1.3
1006,,1006,ZT_LianYuYanLong,10:45,10:46,10:56,10:58,195006,1,"1~42000,806132~1",18003,-180,155,160,"51,0,-6",-100,2
1007,,1007,ZT_HuangQuanLongYan,11:00,11:01,11:11,11:13,195007,1,"1~16800,806132~1",18003,-190,140,95,"51,-4,-6",-95,1.5
1008,,1008,ZT_MoYuanLingZhu,11:15,11:16,11:26,11:28,195008,1,"1~25200,806132~1",18003,-220,140,90,"49,-4,-6",-110,1.3
1009,,1009,ZT_LianYuYanLong,11:30,11:31,11:41,11:43,195009,1,"1~42000,806132~1",18003,-180,155,160,"51,0,-6",-100,2
1010,,1010,ZT_HuangQuanLongYan,11:45,11:46,11:56,11:58,195001,1,"1~16800,806132~1",18003,-190,140,95,"51,-4,-6",-95,1.5
1011,,1011,ZT_MoYuanLingZhu,12:00,12:01,12:11,12:13,195002,1,"1~25200,806132~1",18003,-220,140,90,"49,-4,-6",-110,1.3
1012,,1012,ZT_LianYuYanLong,12:15,12:16,12:26,12:28,195003,1,"1~42000,806132~1",18003,-180,155,160,"51,0,-6",-100,2
1013,,1013,ZT_HuangQuanLongYan,12:30,12:31,12:41,12:43,195004,1,"1~16800,806132~1",18003,-190,140,95,"51,-4,-6",-95,1.5
1014,,1014,ZT_MoYuanLingZhu,12:45,12:46,12:56,12:58,195005,1,"1~25200,806132~1",18003,-220,140,90,"49,-4,-6",-110,1.3
1015,,1015,ZT_LianYuYanLong,13:00,13:01,13:11,13:13,195006,1,"1~42000,806132~1",18003,-180,155,160,"51,0,-6",-100,2
1016,,1016,ZT_HuangQuanLongYan,13:15,13:16,13:26,13:28,195007,1,"1~16800,806132~1",18003,-190,140,95,"51,-4,-6",-95,1.5
1017,,1017,ZT_MoYuanLingZhu,13:30,13:31,13:41,13:43,195008,1,"1~25200,806132~1",18003,-220,140,90,"49,-4,-6",-110,1.3
1018,,1018,ZT_LianYuYanLong,13:45,13:46,13:56,13:58,195009,1,"1~42000,806132~1",18003,-180,155,160,"51,0,-6",-100,2
1019,,1019,ZT_HuangQuanLongYan,14:00,14:01,14:11,14:13,195001,1,"1~16800,806132~1",18003,-190,140,95,"51,-4,-6",-95,1.5
1020,,1020,ZT_MoYuanLingZhu,14:15,14:16,14:26,14:28,195002,1,"1~25200,806132~1",18003,-220,140,90,"49,-4,-6",-110,1.3
1021,,1021,ZT_LianYuYanLong,14:30,14:31,14:41,14:43,195003,1,"1~42000,806132~1",18003,-180,155,160,"51,0,-6",-100,2
1022,,1022,ZT_HuangQuanLongYan,14:45,14:46,14:56,14:58,195004,1,"1~16800,806132~1",18003,-190,140,95,"51,-4,-6",-95,1.5
1023,,1023,ZT_MoYuanLingZhu,15:00,15:01,15:11,15:13,195005,1,"1~25200,806132~1",18003,-220,140,90,"49,-4,-6",-110,1.3
1024,,1024,ZT_LianYuYanLong,15:15,15:16,15:26,15:28,195006,1,"1~42000,806132~1",18003,-180,155,160,"51,0,-6",-100,2
1025,,1025,ZT_HuangQuanLongYan,15:30,15:31,15:41,15:43,195007,1,"1~16800,806132~1",18003,-190,140,95,"51,-4,-6",-95,1.5
1026,,1026,ZT_MoYuanLingZhu,15:45,15:46,15:56,15:58,195008,1,"1~25200,806132~1",18003,-220,140,90,"49,-4,-6",-110,1.3
1027,,1027,ZT_LianYuYanLong,16:00,16:01,16:11,16:13,195009,1,"1~42000,806132~1",18003,-180,155,160,"51,0,-6",-100,2
1028,,1028,ZT_HuangQuanLongYan,16:15,16:16,16:26,16:28,195001,1,"1~16800,806132~1",18003,-190,140,95,"51,-4,-6",-95,1.5
1029,,1029,ZT_MoYuanLingZhu,16:30,16:31,16:41,16:43,195002,1,"1~25200,806132~1",18003,-220,140,90,"49,-4,-6",-110,1.3
1030,,1030,ZT_LianYuYanLong,16:45,16:46,16:56,16:58,195003,1,"1~42000,806132~1",18003,-180,155,160,"51,0,-6",-100,2
1031,,1031,ZT_HuangQuanLongYan,17:00,17:01,17:11,17:13,195004,1,"1~16800,806132~1",18003,-190,140,95,"51,-4,-6",-95,1.5
1032,,1032,ZT_MoYuanLingZhu,17:15,17:16,17:26,17:28,195005,1,"1~25200,806132~1",18003,-220,140,90,"49,-4,-6",-110,1.3
1033,,1033,ZT_LianYuYanLong,17:30,17:31,17:41,17:43,195006,1,"1~42000,806132~1",18003,-180,155,160,"51,0,-6",-100,2
1034,,1034,ZT_HuangQuanLongYan,17:45,17:46,17:56,17:58,195007,1,"1~16800,806132~1",18003,-190,140,95,"51,-4,-6",-95,1.5
1035,,1035,ZT_MoYuanLingZhu,18:00,18:01,18:11,18:13,195008,1,"1~25200,806132~1",18003,-220,140,90,"49,-4,-6",-110,1.3
1036,,1036,ZT_LianYuYanLong,18:15,18:16,18:26,18:28,195009,1,"1~42000,806132~1",18003,-180,155,160,"51,0,-6",-100,2
1037,,1037,ZT_HuangQuanLongYan,18:30,18:31,18:41,18:43,195001,1,"1~16800,806132~1",18003,-190,140,95,"51,-4,-6",-95,1.5
1038,,1038,ZT_MoYuanLingZhu,18:45,18:46,18:56,18:58,195002,1,"1~25200,806132~1",18003,-220,140,90,"49,-4,-6",-110,1.3
1039,,1039,ZT_LianYuYanLong,19:00,19:01,19:11,19:13,195003,1,"1~42000,806132~1",18003,-180,155,160,"51,0,-6",-100,2
1040,,1040,ZT_HuangQuanLongYan,19:15,19:16,19:26,19:28,195004,1,"1~16800,806132~1",18003,-190,140,95,"51,-4,-6",-95,1.5
1041,,1041,ZT_MoYuanLingZhu,19:30,19:31,19:41,19:43,195005,1,"1~25200,806132~1",18003,-220,140,90,"49,-4,-6",-110,1.3
1042,,1042,ZT_LianYuYanLong,19:45,19:46,19:56,19:58,195006,1,"1~42000,806132~1",18003,-180,155,160,"51,0,-6",-100,2
1043,,1043,ZT_HuangQuanLongYan,20:00,20:01,20:11,20:13,195007,1,"1~16800,806132~1",18003,-190,140,95,"51,-4,-6",-95,1.5
1044,,1044,ZT_MoYuanLingZhu,20:15,20:16,20:26,20:28,195008,1,"1~25200,806132~1",18003,-220,140,90,"49,-4,-6",-110,1.3
1045,,1045,ZT_LianYuYanLong,20:30,20:31,20:41,20:43,195009,1,"1~42000,806132~1",18003,-180,155,160,"51,0,-6",-100,2
1046,,1046,ZT_HuangQuanLongYan,20:45,20:46,20:56,20:58,195001,1,"1~16800,806132~1",18003,-190,140,95,"51,-4,-6",-95,1.5
1047,,1047,ZT_MoYuanLingZhu,21:00,21:01,21:11,21:13,195002,1,"1~25200,806132~1",18003,-220,140,90,"49,-4,-6",-110,1.3
