key,remarks,level,maxPower,recoverPower,potential,mostPower,openFun
1,,1,60,,10,1000,
2,,2,62,10,50,1000,
3,,3,64,10,100,1000,
4,,4,66,10,150,1000,
5,,5,68,10,200,1000,自动战斗
6,,6,70,10,250,1000,
7,,7,72,10,300,1000,升星
8,,8,74,15,350,1000,
9,,9,76,15,400,1000,技能升级
10,,10,78,15,450,1000,副本扫荡
11,,11,80,15,500,1000,
12,,12,82,15,550,1000,英雄升级
13,,13,84,15,600,1000,转职、排行榜
14,,14,86,15,650,1000,精英副本
15,,15,88,30,700,1000,日常、扫荡
16,,16,90,30,750,1000,点金手
17,,17,92,30,800,1000,竞技场
18,,18,94,30,850,1000,商店、法宝强化
19,,19,96,30,900,1000,聚宝之地
20,,20,98,30,950,1000,好友
21,,21,100,30,1000,1000,
22,,22,102,30,1050,1000,
23,,23,104,30,1100,1000,无尽战火
24,,24,106,30,1150,1000,
25,,25,108,30,1200,1000,
26,,26,110,30,1250,1000,炼气山谷
27,,27,112,30,1300,1000,附灵
28,,28,114,30,1350,1000,生存幻境
29,,29,116,30,1400,1000,
30,,30,118,30,1450,1000,
31,,31,120,30,1500,1000,万仙阵
32,,32,122,30,1550,1000,法宝熔炼
33,,33,124,30,1600,1000,
34,,34,126,30,1650,1000,封神台
35,,35,128,30,1700,1000,镶嵌宝石
36,,36,130,30,1750,1000,
37,,37,132,30,1800,1000,
38,,38,134,30,1850,1000,
39,,39,136,30,1900,1000,
40,,40,138,30,1950,1000,
41,,41,140,30,2000,1000,
42,,42,142,30,2100,1000,
43,,43,144,30,2200,1000,
44,,44,146,30,2300,1000,
45,,45,148,30,2400,1000,
46,,46,150,30,2500,1000,
47,,47,152,30,2600,1000,
48,,48,154,30,2700,1000,
49,,49,156,30,2800,1000,
50,,50,158,30,2900,1000,
51,,51,160,30,3000,1000,
52,,52,162,30,3100,1000,
53,,53,164,30,3200,1000,
54,,54,166,30,3300,1000,
55,,55,168,30,3400,1000,
56,,56,170,30,3500,1000,
57,,57,172,30,3600,1000,
58,,58,174,30,3700,1000,
59,,59,176,30,3800,1000,
60,,60,178,30,3900,1000,
61,,61,180,30,4000,1000,
62,,62,180,30,4100,1000,
63,,63,180,30,4200,1000,
64,,64,180,30,4300,1000,
65,,65,180,30,4400,1000,
66,,66,180,30,,1000,
67,,67,180,30,,1000,
68,,68,180,30,,1000,
69,,69,180,30,,1000,
70,,70,180,30,,1000,
71,,71,180,30,,1000,
72,,72,180,30,,1000,
73,,73,180,30,,1000,
74,,74,180,30,,1000,
75,,75,180,30,,1000,
76,,76,180,30,,1000,
77,,77,180,30,,1000,
78,,78,180,30,,1000,
79,,79,180,30,,1000,
80,,80,180,30,,1000,
81,,81,180,30,,1000,
82,,82,180,30,,1000,
83,,83,180,30,,1000,
84,,84,180,30,,1000,
85,,85,180,30,,1000,
86,,86,180,30,,1000,
87,,87,180,30,,1000,
88,,88,180,30,,1000,
89,,89,180,30,,1000,
90,,90,180,30,,1000,
