key,Remarks,id,type,range,curLife,curEnergy,life,energy,attack,physiqueDef,spiritDef,attackSpeed,moveSpeed,energyPerSecond,lifePercent,energyPercent,attackPercent,physiqueDefPercent,spiritDefPercent,attackSpeedPercent,moveSpeedPercent
110102_1,,110102_1,2,0,,1000,,,,,,,,,,,,,,,
110201_3,,110201_3,3,m_110201_3_1,,900,,,,,,,,,,,,,,,
110203_1,,110203_1,3,m_110203_1_1,,900,,,,,,,,,,,,,,,
110302_3,,110302_3,2,0,,600,,,,,,,,,,,,,,,
110304_3,,110304_3,3,m_110304_3_4,,900,,,,,,,,,,,,,,,
110306_1,,110306_1,3,m_110306_1_1,,900,,,,,,,,,,,,,,,
110402_3,,110402_3,3,m_110402_3_3,,500,,,,,,,,,,,,,,,
110404_3,,110404_3,3,m_110404_3_1,,950,,,,,,,,,,,,,,,
110406_3,,110406_3,3,m_110406_3_4,,500,,,,,,,,,,,,,,,
110408_3,,110408_3,3,m_110408_3_4,,800,,,,,,,,,,,,,,,
110410_3,,110410_3,3,m_110410_1_1,,900,,,,,,,,,,,,,,,
110502_3,,110502_3,3,0,,600,,,,,,,,,,,,,,,
110504_3,,110504_3,3,m_110504_3_1,,1000,,,,,,,,,,,,,,,
110506_1,,110506_1,3,m_110506_1_1,,600,,,,,,,,,,,,,,,
110508_3,,110508_3,3,m_110508_3_1,,1000,,,,,,,,,,,,,,,
110510_3,,110510_3,3,m_110510_3_4,,900,,,,,,,,,,,,,,,
110512_1,,110512_1,3,m_110512_1_1,,600,,,,,,,,,,,,,,,
110602_3,,110602_3,3,m_110602_3_1,,850,,,,,,,,,,,,,,,
110604_3,,110604_3,3,m_110604_3_3,,850,,,,,,,,,,,,,,,
110606_1,,110606_1,3,m_110606_1_1,,600,,,,,,,,,,,,,,,
110608_3,,110608_3,3,m_110608_3_3,,850,,,,,,,,,,,,,,,
110610_3,,110610_3,3,m_110610_3_1,,850,,,,,,,,,,,,,,,
110612_1,,110612_1,3,m_110612_1_1,,600,,,,,,,,,,,,,,,
110702_3,,110702_3,3,m_110702_3_3,,850,,,,,,,,,,,,,,,
110704_3,,110704_3,3,m_110704_3_1,,850,,,,,,,,,,,,,,,
110706_1,,110706_1,3,m_110706_1_1,,600,,,,,,,,,,,,,,,
110708_3,,110708_3,3,m_110708_3_4,,850,,,,,,,,,,,,,,,
