key,Remarks,mapID,relevantID,previousLevelID,levelID,battleSceneID,name,posX,posY,storyLevel,levelType,subtype,eliteLevelIcon,intro,items,firstDropItems,coin,playerExp,heroExp,succSubPower,failSubPower,extraRewards,extraRewardsNum,resetNum,hidePauseButton,canSpeedAdd,forceAutoFight,cameraMoveType,battleType,recommendedPower,minPower,maxPower,monsterInfo,rewardInfo,boxX,boxY,modelPrefabPath,modelPlayPeriod,tipsBubble,tipsUnlock,tipsName,dropGuarantee
110000,,1001,,,110000,201801,封神前夕,,,"1,2,1,0,1,0,0",,1,,神，是多么的高高在上！,,,,,,,,,0,,1,1,,1,1,,,,,,,,,,,,封神前夕,
110001,,1007,,,110001,200303,魔神阴影,365,-169,"0,0,0,0,0,0,0",,3,Hero_head/head_SanTouLongYan,船舱深处出现巨大的身影，一股强大魔气出现，能够驾驭大海之力的魔神实力不容小觑……,"31214,31218,34028,200000","38325,38023,31214,31218",852,60,60,6,1,803002,1,,,1,,1,1,14500,13110,15225,,,,,,,哪吒，出击！,,魔神阴影,
110101,,1001,,,110101,200101,探听者,-57,-60,"1,1,0,0,0,0,0",,1,,修炼了许久，终于踏上了下山之路。不过在下山之前还需要通过道行天尊的考验。却没有料到刚出山门就碰见了一位不速之客……,"31001,31082,31073,34028","38305,38003,33001,33002,33003,33004,33005",786,60,60,6,1,803002,1,,,1,,1,1,1000,950,1050,,,,,,,,,探听者,"1101010,1101011,1101012,1101013,1101014"
110102,,1001,,110101,110102,200101,天尊试炼,144,35,"1,1,1,0,0,0,0",,3,Hero_head/head_DaoXingTianZun,申公豹的实力让人惊讶，这位法力高强的道士究竟是敌是友？也许道行天尊会告诉我们答案。,"31001,31082,31073,34028","38306,38004,33006,33007",786,60,60,6,1,803002,1,,,1,,1,1,1500,1425,1575,,,,,,,道行天尊在等你！,英雄进阶,天尊试炼,"1101020,1101021,1101022,1101023,1101024"
120101,,1002,110102,110508,120101,200101,道行天尊,144,35,"0,0,0,0,0,0,0",1,3,Hero_head/head_DaoXingTianZun,下山锻炼了一番，再挑战道行天尊看看自己是否有进步吧！,"2001001,30004,34031,200000","38204,2001001,30004,34031",1572,120,120,12,1,803002,2,3,,1,,1,1,19291,18326,20255,,,,,,,试试精英关卡吧~,,道行天尊,120101
110201,,1003,,110102,110201,200110,新的伙伴,-175,-50,"1,0,0,0,0,0,1",,2,Hero_head/head_WeiHu,桃花渊内近日出现了许多妖物，情况异常，看来需要好好调查一番，查清妖物的来源。,"31013,31094,31130,34028","38307,38005,33011,33012",792,60,60,6,1,803002,1,,,1,,1,1,2500,2375,2625,,808001,-92,-29,Assets/Model/Charactor/Prefab/911004.prefab,2.6,这里有新伙伴加入,韦护加入,新的伙伴,"1102010,1102011,1102012,1102013,1102014"
110202,,1003,,110201,110202,200110,封印法阵,-18,101,"0,0,0,0,0,0,0",,1,,新的伙伴加入了队伍，面对越来越多的妖物，一行人决定前往风息谷深处的封印法阵一探究竟。,"31037,31118,31138,34028","38308,38006,33016,33017",798,60,60,6,1,803002,1,,,1,,1,1,3500,3325,3675,,,,,,,,,封印法阵,"1102020,1102021,1102022,1102023,1102024"
110203,,1003,,110202,110203,200111,魔王，初战！,277,44,"0,1,0,0,0,0,0",,3,Hero_head/head_ShenYuanTongShuai,行至封印法阵，却发现法阵已经被破坏。法阵中有阵阵魔气外泄，预示着魔族正在一点一点渗透至人界，而强大的魔神也即将降临……,"31037,31118,31138,34028","38309,38007,33021,33022",798,60,60,6,1,803002,1,,,1,,1,1,3800,3610,3990,,,,,,,魔神登场！,天尊锦囊,魔王，初战！,"1102030,1102031,1102032,1102033,1102034"
120201,,1004,110201,120101,120201,200110,友人切磋,-175,-50,"0,0,0,0,0,0,0",1,2,Hero_head/head_WeiHu,与友人切磋一番也是修道之路上必不可少的经历,"2001002,30007,34031,200000","38205,2001002,30007,34031",1584,120,120,12,1,803002,2,3,,1,,1,1,26324,25007,27640,,808501,-92,-29,,,戳一戳，拿装备,,友人切磋,120201
120202,,1004,110203,120201,120202,200109,魔神之力,277,44,"0,0,0,0,0,0,0",1,3,Hero_head/head_ShenYuanTongShuai,魔神的力量究竟有多强？,"2001003,30006,34031,200000","38206,2001003,30006,34031",1596,120,120,12,1,803002,2,3,,1,,1,1,33491,31816,35165,,,,,,,一个能打的都没有,,魔神之力,120202
