key,Remarks,id,itemCfgId,baseRate,dropCount,itemsFormula,fk
1,,1,801001,3000,1,20000,1级晶石
2,,2,801002,1000,1,20000,2级晶石
3,,3,803001,9271,1,20000,低级经验丹
4,,4,803002,18542,1,20000,中级经验丹
5,,5,806001,2000,1,20000,扫荡券
6,,6,804001,9271,1,20000,1级符文
7,,7,802001,1500,1,20000,玛瑙石
8,,8,802002,1000,1,20000,翡翠玉
9,,9,801001,3000,1,20001,1级晶石
10,,10,801002,1000,1,20001,2级晶石
11,,11,803001,9271,1,20001,低级经验丹
12,,12,803002,18542,1,20001,中级经验丹
13,,13,806001,2000,1,20001,扫荡券
14,,14,804001,9271,1,20001,1级符文
15,,15,802001,1500,1,20001,玛瑙石
16,,16,802002,1000,1,20001,翡翠玉
17,,17,704001,3333,1,30001,魂石(姜子牙)
18,,18,704002,3333,1,30002,魂石(哪吒)
19,,19,704003,3333,1,30003,魂石(杨戬)
20,,20,704004,3333,1,30004,魂石(龙吉公主)
21,,21,704029,3333,1,30005,魂石(妲己)
22,,22,704041,3333,1,30006,魂石(郑伦)
23,,23,704040,3333,1,30007,魂石(陈奇)
24,,24,704008,3333,1,30009,魂石(魔礼青)
25,,25,704009,3333,1,30010,魂石(木吒)
26,,26,704010,3333,1,30011,魂石(雷震子)
27,,27,704011,3333,1,30012,魂石(李靖)
28,,28,704012,3333,1,30013,魂石(燃灯道人)
29,,29,704013,3333,1,30014,魂石(武吉)
30,,30,704014,3333,1,30015,魂石(李兴霸)
31,,31,704015,3333,1,30016,魂石(魔礼寿)
32,,32,704016,3333,1,30017,魂石(杨森)
33,,33,704017,3333,1,30018,魂石(魔礼红)
34,,34,704018,3333,1,30019,魂石(金吒)
35,,35,704019,3333,1,30020,魂石(韦护)
36,,36,704020,3333,1,30021,魂石(云中子)
37,,37,704021,3333,1,30022,魂石(黄龙真人)
38,,38,704022,3333,1,30023,魂石(魔礼海)
39,,39,704023,3333,1,30024,魂石(道行天尊)
40,,40,704024,3333,1,30025,魂石(高友乾)
41,,41,704025,3333,1,30026,魂石(董天君)
42,,42,704026,3333,1,30027,魂石(广成子)
43,,43,704027,3333,1,30028,魂石(喜媚儿)
44,,44,704028,3333,1,30029,魂石(申公豹)
45,,45,704029,3333,1,30030,魂石(妲己)
46,,46,704030,3333,1,30031,魂石(王魔)
47,,47,704031,3333,1,30032,魂石(闻仲)
48,,48,704032,3333,1,30033,魂石(灵宝大法师)
49,,49,704034,3333,1,30035,魂石(普贤真人)
50,,50,704035,3333,1,30036,魂石(张天君)
51,,51,704037,3333,1,30038,魂石(赵天君)
52,,52,704038,3333,1,30039,魂石(袁天君)
53,,53,704039,3333,1,30040,魂石(金光圣母)
