key,remarks,id,emailId,parentCfgId,rankRange,rank,reward
70001,,70001,10064,70001,1,1,"1_888000,2_2000,90000115_1,90000615_1"
70002,,70002,10065,70001,2,2,"1_588000,2_1000,90000110_1,90000610_1"
70003,,70003,10066,70001,3,3,"1_388000,2_800,90000105_1,90000605_1"
70004,,70004,10067,70001,4_10,10,"1_288000,2_500"
70005,,70005,10067,70001,11_20,20,"1_188000,2_300"
70006,,70006,10067,70001,21_50,50,"1_128000,2_150"
70007,,70007,10067,70001,51_100,100,"1_88800,2_100"
70008,,70008,10067,70001,101_500,500,"1_68800,2_80"
70009,,70009,10067,70001,501_1000,1000,"1_28800,2_50"
70010,,70010,10101,70002,1,1,"1_888000,2_2000,806116_4"
70011,,70011,10102,70002,2,2,"1_588000,2_1000,806116_2"
70012,,70012,10103,70002,3,3,"1_388000,2_800,806116_1"
70013,,70013,10104,70002,4_10,10,"1_288000,2_500"
70014,,70014,10104,70002,11_20,20,"1_188000,2_300"
70015,,70015,10104,70002,21_50,50,"1_128000,2_150"
70016,,70016,10104,70002,51_100,100,"1_88800,2_100"
70017,,70017,10104,70002,101_500,500,"1_68800,2_80"
70018,,70018,10104,70002,501_1000,1000,"1_28800,2_50"
70019,,70019,10064,70003,1,1,"1_888000,2_2000,90000115_1,90000615_1"
70020,,70020,10065,70003,2,2,"1_588000,2_1000,90000110_1,90000610_1"
70021,,70021,10066,70003,3,3,"1_388000,2_800,90000105_1,90000605_1"
70022,,70022,10067,70003,4_10,10,"1_288000,2_500"
70023,,70023,10067,70003,11_20,20,"1_188000,2_300"
70024,,70024,10067,70003,21_50,50,"1_128000,2_150"
70025,,70025,10067,70003,51_100,100,"1_88800,2_100"
70026,,70026,10067,70003,101_500,500,"1_68800,2_80"
70027,,70027,10067,70003,501_1000,1000,"1_28800,2_50"
70028,,70028,10101,70004,1,1,"1_888000,2_2000,806116_4,802995_1"
70029,,70029,10102,70004,2,2,"1_588000,2_1000,806116_2"
70030,,70030,10103,70004,3,3,"1_388000,2_800,806116_1"
70031,,70031,10104,70004,4_10,10,"1_288000,2_500"
70032,,70032,10104,70004,11_20,20,"1_188000,2_300"
70033,,70033,10104,70004,21_50,50,"1_128000,2_150"
70034,,70034,10104,70004,51_100,100,"1_88800,2_100"
70035,,70035,10104,70004,101_500,500,"1_68800,2_80"
70036,,70036,10104,70004,501_1000,1000,"1_28800,2_50"
