key,Remarks,id,planId,level,costType,costCount
1,,1,10001,1,0,40
2,,2,10001,2,0,200
3,,3,10001,3,0,360
4,,4,10001,4,0,520
5,,5,10001,5,0,680
6,,6,10001,6,0,840
7,,7,10001,7,0,1000
8,,8,10001,8,0,1160
9,,9,10001,9,0,1320
10,,10,10001,10,0,1480
11,,11,10001,11,0,1640
12,,12,10001,12,0,1800
13,,13,10001,13,0,1960
14,,14,10001,14,0,2120
15,,15,10001,15,0,2280
16,,16,10001,16,0,2490
17,,17,10001,17,0,2700
18,,18,10001,18,0,2910
19,,19,10001,19,0,3120
20,,20,10001,20,0,3330
21,,21,10001,21,0,3560
22,,22,10001,22,0,3790
23,,23,10001,23,0,4020
24,,24,10001,24,0,4250
25,,25,10001,25,0,4480
26,,26,10001,26,0,4710
27,,27,10001,27,0,4940
28,,28,10001,28,0,5170
29,,29,10001,29,0,5400
30,,30,10001,30,0,5630
31,,31,10001,31,0,6080
32,,32,10001,32,0,6530
33,,33,10001,33,0,6980
34,,34,10001,34,0,7430
35,,35,10001,35,0,7990
36,,36,10001,36,0,8550
37,,37,10001,37,0,9290
38,,38,10001,38,0,10030
39,,39,10001,39,0,10770
40,,40,10001,40,0,11510
41,,41,10001,41,0,14670
42,,42,10001,42,0,17830
43,,43,10001,43,0,20990
44,,44,10001,44,0,24150
45,,45,10001,45,0,27310
46,,46,10001,46,0,31350
47,,47,10001,47,0,35390
48,,48,10001,48,0,39430
49,,49,10001,49,0,43470
50,,50,10001,50,0,47510
51,,1,10001,51,0,52430
52,,2,10001,52,0,57350
53,,3,10001,53,0,62270
54,,4,10001,54,0,67190
55,,5,10001,55,0,72110
56,,6,10001,56,0,77910
57,,7,10001,57,0,83710
58,,8,10001,58,0,89510
59,,9,10001,59,0,95310
60,,10,10001,60,0,101110
61,,11,10001,61,0,107790
62,,12,10001,62,0,114470
63,,13,10001,63,0,121150
64,,14,10001,64,0,127830
65,,15,10001,65,0,134510
66,,16,10001,66,0,141850
67,,17,10001,67,0,149190
68,,18,10001,68,0,156530
69,,19,10001,69,0,163870
70,,20,10001,70,0,171210
71,,21,10001,71,0,179210
72,,22,10001,72,0,187210
73,,23,10001,73,0,195210
74,,24,10001,74,0,203210
75,,25,10001,75,0,211210
76,,26,10001,76,0,220310
77,,27,10001,77,0,229410
78,,28,10001,78,0,238510
79,,29,10001,79,0,247610
80,,30,10001,80,0,256710
81,,31,10001,81,0,266910
82,,32,10001,82,0,277110
83,,33,10001,83,0,287310
84,,34,10001,84,0,297510
85,,35,10001,85,0,307710
86,,36,10001,86,0,319230
87,,37,10001,87,0,330750
88,,38,10001,88,0,342270
89,,39,10001,89,0,353790
90,,40,10001,90,0,365310
201,,51,10002,1,1,30
202,,52,10002,2,1,30
203,,53,10002,3,1,30
204,,54,10002,4,1,30
205,,55,10002,5,1,30
206,,56,10002,6,1,30
207,,57,10002,7,1,30
208,,58,10002,8,1,50
209,,59,10002,9,1,60
210,,60,10002,10,1,70
211,,61,10002,11,1,80
212,,62,10002,12,1,90
213,,63,10002,13,1,100
214,,64,10002,14,1,125
215,,65,10002,15,1,150
216,,66,10002,16,1,175
217,,67,10002,17,1,200
218,,68,10002,18,1,225
219,,69,10002,19,1,250
220,,70,10002,20,1,285
221,,71,10002,21,1,380
222,,72,10002,22,1,476
223,,73,10002,23,1,570
224,,74,10002,24,1,667
225,,75,10002,25,1,760
226,,76,10002,26,1,858
227,,77,10002,27,1,891
228,,78,10002,28,1,924
229,,79,10002,29,1,957
230,,80,10002,30,1,990
231,,81,10002,31,1,1000
232,,82,10002,32,1,1108
233,,83,10002,33,1,1216
234,,84,10002,34,1,1324
235,,85,10002,35,1,1432
236,,86,10002,36,1,1540
237,,87,10002,37,1,1848
238,,88,10002,38,1,2112
239,,89,10002,39,1,2376
240,,90,10002,40,1,2640
241,,91,10002,41,1,3630
242,,92,10002,42,1,3960
243,,93,10002,43,1,4400
244,,94,10002,44,1,5500
245,,95,10002,45,1,7150
246,,96,10002,46,1,12350
247,,97,10002,47,1,13650
248,,98,10002,48,1,16250
249,,99,10002,49,1,16250
250,,100,10002,50,1,22100
251,,51,10002,51,1,26250
252,,52,10002,52,1,27000
253,,53,10002,53,1,27750
254,,54,10002,54,1,28500
255,,55,10002,55,1,33750
256,,56,10002,56,1,40800
257,,57,10002,57,1,42500
258,,58,10002,58,1,43350
259,,59,10002,59,1,44200
260,,60,10002,60,1,45050
261,,61,10002,61,1,53760
262,,62,10002,62,1,57600
263,,63,10002,63,1,58560
264,,64,10002,64,1,67200
265,,65,10002,65,1,68160
266,,66,10002,66,1,76320
267,,67,10002,67,1,89040
268,,68,10002,68,1,89570
269,,69,10002,69,1,90100
270,,70,10002,70,1,90630
271,,71,10002,71,1,99760
272,,72,10002,72,1,102080
273,,73,10002,73,1,110200
274,,74,10002,74,1,113680
275,,75,10002,75,1,121800
276,,76,10002,76,1,136080
277,,77,10002,77,1,137340
278,,78,10002,78,1,138600
279,,79,10002,79,1,139860
280,,80,10002,80,1,143640
281,,81,10002,81,1,159120
282,,82,10002,82,1,164560
283,,83,10002,83,1,168640
284,,84,10002,84,1,170000
285,,85,10002,85,1,174080
286,,86,10002,86,1,192720
287,,87,10002,87,1,197100
288,,88,10002,88,1,198560
289,,89,10002,89,1,204400
290,,90,10002,90,1,210240
