key,remarks,id,planId,quality,levelNeed,costType,costCount,itemsNeedStr,attrData,precentAttrData
1,,1,101,1,10,1,1000,807101_1,物理攻击_66,
2,,2,101,2,15,1,2000,807102_1,物理攻击_67,
3,,3,101,3,20,1,3000,807103_1,物理攻击_68,
4,,4,101,4,25,1,4000,807104_1,物理攻击_69,
5,,5,101,5,30,1,5000,807105_1,物理攻击_70,
6,,6,101,6,35,1,6000,807106_1,物理攻击_71,
7,,7,101,7,40,1,7000,807107_1,物理攻击_72,
8,,8,101,8,45,1,8000,807108_1,物理攻击_73,
9,,9,101,9,50,1,9000,807109_1,物理攻击_74,
10,,10,101,10,55,1,10000,807110_1,物理攻击_75,
11,,11,102,1,10,1,1000,807101_1,物理防御_66,
12,,12,102,2,15,1,2000,807102_1,物理防御_67,
13,,13,102,3,20,1,3000,807103_1,物理防御_68,
14,,14,102,4,25,1,4000,807104_1,物理防御_69,
15,,15,102,5,30,1,5000,807105_1,物理防御_70,
16,,16,102,6,35,1,6000,807106_1,物理防御_71,
17,,17,102,7,40,1,7000,807107_1,物理防御_72,
18,,18,102,8,45,1,8000,807108_1,物理防御_73,
19,,19,102,9,50,1,9000,807109_1,物理防御_74,
20,,20,102,10,55,1,10000,807110_1,物理防御_75,
21,,21,103,1,10,1,1000,807101_1,法术防御_66,
22,,22,103,2,15,1,2000,807102_1,法术防御_67,
23,,23,103,3,20,1,3000,807103_1,法术防御_68,
24,,24,103,4,25,1,4000,807104_1,法术防御_69,
25,,25,103,5,30,1,5000,807105_1,法术防御_70,
26,,26,103,6,35,1,6000,807106_1,法术防御_71,
27,,27,103,7,40,1,7000,807107_1,法术防御_72,
28,,28,103,8,45,1,8000,807108_1,法术防御_73,
29,,29,103,9,50,1,9000,807109_1,法术防御_74,
30,,30,103,10,55,1,10000,807110_1,法术防御_75,
31,,31,104,1,10,1,1000,807101_1,生命_100,
32,,32,104,2,15,1,2000,807102_1,生命_200,
33,,33,104,3,20,1,3000,807103_1,生命_300,
34,,34,104,4,25,1,4000,807104_1,生命_400,
35,,35,104,5,30,1,5000,807105_1,生命_500,
36,,36,104,6,35,1,6000,807106_1,生命_600,
37,,37,104,7,40,1,7000,807107_1,生命_700,
38,,38,104,8,45,1,8000,807108_1,生命_800,
39,,39,104,9,50,1,9000,807109_1,生命_900,
40,,40,104,10,55,1,10000,807110_1,生命_1000,
