key,remarks,firstHeroId,secondHeroId,thirdHeroId,fourthHeroId,r1,r2,r3,r4
10000_1,,201012,200003,202001,204001,陈奇,韦护,姜子牙,龙吉公主
10000_2,,201012,200011,202001,204001,陈奇,郑伦,姜子牙,龙吉公主
10000_3,,201012,200011,200003,202001,陈奇,郑伦,韦护,姜子牙
10000_4,,200011,200003,202001,204001,郑伦,韦护,姜子牙,龙吉公主
10001_1,,201004,200001,202004,204004,木吒,金吒,雷震子,李靖
10001_2,,201004,200001,202004,202001,木吒,金吒,雷震子,姜子牙
10001_3,,201004,200001,202004,204001,木吒,金吒,雷震子,龙吉公主
10001_4,,200003,201004,200001,202004,韦护,木吒,金吒,雷震子
10001_5,,200011,202004,200001,204004,郑伦,雷震子,金吒,李靖
10001_6,,200001,202004,202001,204004,金吒,雷震子,姜子牙,李靖
10001_7,,201012,200003,200011,202004,陈奇,韦护,郑伦,雷震子
10001_8,,200011,202004,202001,204001,郑伦,雷震子,姜子牙,龙吉公主
10001_9,,200011,202004,202001,204004,郑伦,雷震子,姜子牙,李靖
10001_10,,201012,200003,202001,204001,陈奇,韦护,姜子牙,龙吉公主
10001_11,,201012,200011,202001,204001,陈奇,郑伦,姜子牙,龙吉公主
10001_12,,201012,200011,200003,202001,陈奇,郑伦,韦护,姜子牙
10001_13,,200011,200003,202001,204001,郑伦,韦护,姜子牙,龙吉公主
10002_1,,204006,201005,203003,200004,魔礼红,魔礼青,魔礼寿,魔礼海
10002_2,,204006,200011,202001,200004,魔礼红,郑伦,姜子牙,魔礼海
10002_3,,201005,200003,202001,204001,魔礼青,韦护,姜子牙,龙吉公主
10002_4,,201005,200004,204004,204001,魔礼青,魔礼海,李靖,龙吉公主
10002_5,,201005,202004,203003,202001,魔礼青,雷震子,魔礼寿,姜子牙
10002_6,,202001,204001,204004,200004,姜子牙,龙吉公主,李靖,魔礼海
10002_7,,200011,200003,202001,200004,郑伦,韦护,姜子牙,魔礼海
10002_8,,200011,203003,202001,200004,郑伦,魔礼寿,姜子牙,魔礼海
10002_9,,201005,202001,204001,204004,魔礼青,姜子牙,龙吉公主,李靖
10002_10,,200011,204006,200003,204001,郑伦,魔礼红,韦护,龙吉公主
10002_11,,204006,204004,202001,200004,魔礼红,李靖,姜子牙,魔礼海
10002_12,,200011,200001,202001,200004,郑伦,金吒,姜子牙,魔礼海
10002_13,,201005,200011,202001,202004,魔礼青,郑伦,姜子牙,雷震子
10002_14,,201005,201004,202001,200004,魔礼青,木吒,姜子牙,魔礼海
10002_15,,204006,201005,202002,200004,魔礼红,魔礼青,哪吒,魔礼海
10002_16,,201004,200001,202004,204004,木吒,金吒,雷震子,李靖
10002_17,,201004,200001,202004,202001,木吒,金吒,雷震子,姜子牙
10002_18,,201004,200001,202004,204001,木吒,金吒,雷震子,龙吉公主
10002_19,,200003,201004,200001,202004,韦护,木吒,金吒,雷震子
10002_20,,200011,202004,200001,204004,郑伦,雷震子,金吒,李靖
10002_21,,200001,202004,202001,204004,金吒,雷震子,姜子牙,李靖
10002_22,,201012,200003,200011,202004,陈奇,韦护,郑伦,雷震子
