key,Remarks,id,payType,Day,CoinType,Num
900001_1,,900001,Buy,7,Gold,270
900001_2,,900001,Buy,30,Gold,500
900001_3,,900001,Buy,90,Gold,900
900001_4,,900001,Renew,7,Gold,243
900001_5,,900001,Renew,30,Gold,450
900001_6,,900001,Renew,90,Gold,810
900002_1,,900002,Buy,1,Gold,40
900002_2,,900002,Buy,30,Gold,500
900002_3,,900002,Buy,90,Gold,900
900002_4,,900002,Renew,7,Gold,243
900002_5,,900002,Renew,30,Gold,450
900002_6,,900002,Renew,90,Gold,810
900003_1,,900003,Buy,7,Gold,270
900003_2,,900003,Buy,30,Gold,500
900003_3,,900003,Buy,90,Gold,900
900003_4,,900003,Renew,7,Gold,243
900003_5,,900003,Renew,30,Gold,450
900003_6,,900003,Renew,90,Gold,810
900004_1,,900004,Buy,7,Gold,270
900004_2,,900004,Buy,30,Gold,500
900004_3,,900004,Buy,90,Gold,900
900004_4,,900004,Renew,7,Gold,243
900004_5,,900004,Renew,30,Gold,450
900004_6,,900004,Renew,90,Gold,810
900005_1,,900005,Buy,7,Gold,270
900005_2,,900005,Buy,30,Gold,500
900005_3,,900005,Buy,90,Gold,900
900005_4,,900005,Renew,7,Gold,243
900005_5,,900005,Renew,30,Gold,450
900005_6,,900005,Renew,90,Gold,810
900006_1,,900006,Buy,7,Gold,1350
900006_2,,900006,Buy,30,Gold,2500
900006_3,,900006,Buy,90,Gold,4500
900006_4,,900006,Renew,7,Gold,1215
900006_5,,900006,Renew,30,Gold,2250
900006_6,,900006,Renew,90,Gold,4050
900007_1,,900007,Buy,7,Gold,270
900007_2,,900007,Buy,30,Gold,500
900007_3,,900007,Buy,90,Gold,900
900007_4,,900007,Renew,7,Gold,243
900007_5,,900007,Renew,30,Gold,450
900007_6,,900007,Renew,90,Gold,810
900008_1,,900008,Buy,7,Gold,270
900008_2,,900008,Buy,30,Gold,500
900008_3,,900008,Buy,90,Gold,900
900008_4,,900008,Renew,7,Gold,243
900008_5,,900008,Renew,30,Gold,450
900008_6,,900008,Renew,90,Gold,810
900009_1,,900009,Buy,7,Gold,270
900009_2,,900009,Buy,30,Gold,500
900009_3,,900009,Buy,90,Gold,900
900009_4,,900009,Renew,7,Gold,243
900009_5,,900009,Renew,30,Gold,450
900009_6,,900009,Renew,90,Gold,810
900010_1,,900010,Buy,7,Gold,700
900010_2,,900010,Buy,30,Gold,1500
900010_3,,900010,Buy,90,Gold,2500
900010_4,,900010,Renew,7,Gold,630
900010_5,,900010,Renew,30,Gold,1350
900010_6,,900010,Renew,90,Gold,2250
900011_1,,900011,Buy,7,Gold,140
900011_2,,900011,Buy,30,Gold,300
900011_3,,900011,Buy,90,Gold,500
900011_4,,900011,Renew,7,Gold,140
900011_5,,900011,Renew,30,Gold,300
900011_6,,900011,Renew,90,Gold,500
