key,Remarks,level,maxMemberLimit,assistantGroupLeaderLimit,officialLimit,needExp,guildIconName
1,,1,20,1,1,4800,Guild/icon_Guild_01
2,,2,22,1,1,7100,Guild/icon_Guild_01
3,,3,24,1,2,10400,Guild/icon_Guild_01
4,,4,26,1,2,15200,Guild/icon_Guild_01
5,,5,28,1,3,22100,Guild/icon_Guild_01
6,,6,30,2,4,31900,Guild/icon_Guild_01
7,,7,32,2,4,45800,Guild/icon_Guild_01
8,,8,34,2,4,65600,Guild/icon_Guild_01
9,,9,36,2,4,93550,Guild/icon_Guild_01
10,,10,38,2,4,133000,Guild/icon_Guild_01
11,,11,40,2,4,188550,Guild/icon_Guild_01
12,,12,42,2,4,266650,Guild/icon_Guild_01
13,,13,44,2,4,376250,Guild/icon_Guild_01
14,,14,46,2,4,529850,Guild/icon_Guild_01
15,,15,48,2,4,744650,Guild/icon_Guild_01
16,,16,50,2,4,960000,Guild/icon_Guild_01
