key,Remarks,level,maxMemberLimit,assistantGroupLeaderLimit,officialLimit,needExp,guildIconName
1,,1,20,1,1,12000,Guild/icon_Guild_01
2,,2,22,1,1,39600,Guild/icon_Guild_01
3,,3,24,1,2,100800,Guild/icon_Guild_01
4,,4,26,1,2,162400,Guild/icon_Guild_01
5,,5,28,1,3,231850,Guild/icon_Guild_01
6,,6,30,2,4,330600,Guild/icon_Guild_01
7,,7,32,2,4,470700,Guild/icon_Guild_01
8,,8,34,2,4,669100,Guild/icon_Guild_01
9,,9,36,2,4,949400,Guild/icon_Guild_01
10,,10,38,2,4,1344700,Guild/icon_Guild_01
11,,11,40,2,4,1901100,Guild/icon_Guild_01
12,,12,42,2,4,2683000,Guild/icon_Guild_01
13,,13,44,2,4,3779800,Guild/icon_Guild_01
14,,14,46,2,4,5316150,Guild/icon_Guild_01
15,,15,48,2,4,7465050,Guild/icon_Guild_01
16,,16,50,2,4,7465050,Guild/icon_Guild_01
