key,Remarks,level,towerId,gold,towerCoin,count,formatId
1,,25,1,3558,40,1,
2,,25,2,5338,40,1,
3,,25,3,7117,40,1,
4,,25,4,8898,80,1,
5,,25,5,10658,80,1,
6,,25,6,12438,100,1,
7,,25,7,14217,100,1,
8,,25,8,15996,120,1,
9,,25,9,17776,120,1,
10,,25,10,19556,160,1,
11,,25,11,21336,160,1,
12,,25,12,23115,200,1,
13,,25,13,24894,200,1,
14,,25,14,26694,240,1,
15,,25,15,28397,240,1,
16,,35,1,3558,40,1,
17,,35,2,5338,40,1,
18,,35,3,7117,40,1,
19,,35,4,8898,80,1,
20,,35,5,10658,80,1,
21,,35,6,12438,100,1,
22,,35,7,14217,100,1,
23,,35,8,15996,120,1,
24,,35,9,17776,120,1,
25,,35,10,19556,160,1,
26,,35,11,21336,160,1,
27,,35,12,23115,200,1,
28,,35,13,24894,200,1,
29,,35,14,26694,240,1,
30,,35,15,28397,240,1,
31,,40,1,4152,40,1,
32,,40,2,6228,40,1,
33,,40,3,8304,40,1,
34,,40,4,10381,80,1,
35,,40,5,12435,80,1,
36,,40,6,14511,100,1,
37,,40,7,16587,100,1,
38,,40,8,18663,120,1,
39,,40,9,20739,120,1,
40,,40,10,22816,160,1,
41,,40,11,24892,160,1,
42,,40,12,26968,200,1,
43,,40,13,29044,200,1,
44,,40,14,31143,240,1,
45,,40,15,33130,240,1,
46,,45,1,4152,40,1,
47,,45,2,6228,40,1,
48,,45,3,8304,40,1,
49,,45,4,10381,80,1,
50,,45,5,12435,80,1,
51,,45,6,14511,100,1,
52,,45,7,16587,100,1,
53,,45,8,18663,120,1,
54,,45,9,20739,120,1,
55,,45,10,22816,160,1,
56,,45,11,24892,160,1,
57,,45,12,26968,200,1,
58,,45,13,29044,200,1,
59,,45,14,31143,240,1,
60,,45,15,33130,240,1,
61,,50,1,4152,40,1,
62,,50,2,6228,40,1,
63,,50,3,8304,40,1,
64,,50,4,10381,80,1,
65,,50,5,12435,80,1,
66,,50,6,14511,100,1,
67,,50,7,16587,100,1,
68,,50,8,18663,120,1,
69,,50,9,20739,120,1,
70,,50,10,22816,160,1,
71,,50,11,24892,160,1,
72,,50,12,26968,200,1,
73,,50,13,29044,200,1,
74,,50,14,31143,240,1,
75,,50,15,33130,240,1,
76,,55,1,4152,40,1,
77,,55,2,6228,40,1,
78,,55,3,8304,40,1,
79,,55,4,10381,80,1,
80,,55,5,12435,80,1,
81,,55,6,14511,100,1,
82,,55,7,16587,100,1,
83,,55,8,18663,120,1,
84,,55,9,20739,120,1,
85,,55,10,22816,160,1,
86,,55,11,24892,160,1,
87,,55,12,26968,200,1,
88,,55,13,29044,200,1,
89,,55,14,31143,240,1,
90,,55,15,33130,240,1,
91,,60,1,4152,40,1,
92,,60,2,6228,40,1,
93,,60,3,8304,40,1,
94,,60,4,10381,80,1,
95,,60,5,12435,80,1,
96,,60,6,14511,100,1,
97,,60,7,16587,100,1,
98,,60,8,18663,120,1,
99,,60,9,20739,120,1,
100,,60,10,22816,160,1,
101,,60,11,24892,160,1,
102,,60,12,26968,200,1,
103,,60,13,29044,200,1,
104,,60,14,31143,240,1,
105,,60,15,33130,240,1,
106,,65,1,4152,40,1,
107,,65,2,6228,40,1,
108,,65,3,8304,40,1,
109,,65,4,10381,80,1,
110,,65,5,12435,80,1,
111,,65,6,14511,100,1,
112,,65,7,16587,100,1,
113,,65,8,18663,120,1,
114,,65,9,20739,120,1,
115,,65,10,22816,160,1,
116,,65,11,24892,160,1,
117,,65,12,26968,200,1,
118,,65,13,29044,200,1,
119,,65,14,31143,240,1,
120,,65,15,33130,240,1,
121,,70,1,4152,40,1,
122,,70,2,6228,40,1,
123,,70,3,8304,40,1,
124,,70,4,10381,80,1,
125,,70,5,12435,80,1,
126,,70,6,14511,100,1,
127,,70,7,16587,100,1,
128,,70,8,18663,120,1,
129,,70,9,20739,120,1,
130,,70,10,22816,160,1,
131,,70,11,24892,160,1,
132,,70,12,26968,200,1,
133,,70,13,29044,200,1,
134,,70,14,31143,240,1,
135,,70,15,33130,240,1,
136,,75,1,4152,40,1,
137,,75,2,6228,40,1,
138,,75,3,8304,40,1,
139,,75,4,10381,80,1,
140,,75,5,12435,80,1,
141,,75,6,14511,100,1,
142,,75,7,16587,100,1,
143,,75,8,18663,120,1,
144,,75,9,20739,120,1,
145,,75,10,22816,160,1,
146,,75,11,24892,160,1,
147,,75,12,26968,200,1,
148,,75,13,29044,200,1,
149,,75,14,31143,240,1,
150,,75,15,33130,240,1,
151,,80,1,4152,40,1,
152,,80,2,6228,40,1,
