key,Remarks,groupId,firstReward,dropIds,unfirstReward,copyId
1,,1,"10:1,800001:1",37004,10:1,160101
2,,2,"10:1,800051:1",37004,10:1,160102
3,,3,"10:1,800021:1",37004,10:1,160103
4,,4,"10:1,800041:1",37004,10:1,160104
5,,5,"10:1,800012:1",37004,10:1,160201
6,,6,"10:1,800062:1",37004,10:1,160202
7,,7,"10:1,800032:1",37004,10:1,160203
8,,8,"10:1,800072:1",37004,10:1,160204
9,,9,"10:1,800003:1",37005,10:1,160301
10,,10,"10:1,800053:1",37005,10:1,160302
11,,11,"10:1,800023:1",37005,10:1,160303
12,,12,"10:1,800043:1",37005,10:1,160304
13,,13,"11:1,800014:1",37005,10:1,160401
14,,14,"11:1,800064:1",37005,10:1,160402
15,,15,"11:1,800034:1",37005,10:1,160403
16,,16,"11:1,800074:1",37005,10:1,160404
17,,17,"11:1,800005:1",37006,10:1,160501
18,,18,"11:1,800055:1",37006,10:1,160502
19,,19,"11:1,800025:1",37006,10:1,160503
20,,20,"11:1,800045:1",37006,10:1,160504
21,,21,"11:1,800016:1",37006,10:1,160601
22,,22,"11:1,800066:1",37006,10:1,160602
23,,23,"11:1,800036:1",37006,10:1,160603
24,,24,"11:1,800076:1",37006,10:1,160604
25,,25,"11:1,800007:1",37007,10:1,160701
26,,26,"11:1,800057:1",37007,10:1,160702
27,,27,"11:1,800027:1",37007,10:1,160703
28,,28,"11:1,800047:1",37007,10:1,160704
29,,29,"12:1,800018:1",37007,10:1,160801
30,,30,"12:1,800068:1",37007,10:1,160802
31,,31,"12:1,800038:1",37007,10:1,160803
32,,32,"12:1,800078:1",37007,10:1,160804
33,,33,"12:1,800009:1",37008,10:1,160901
34,,34,"12:1,800059:1",37008,10:1,160902
35,,35,"12:1,800029:1",37008,10:1,160903
36,,36,"12:1,800049:1",37008,10:1,160904
37,,37,"12:1,800220:1",37008,10:1,161001
38,,38,"12:1,800770:1",37008,10:1,161002
39,,39,"12:1,800440:1",37008,10:1,161003
40,,40,"12:1,800880:1",37008,10:1,161004
