key,Remarks,Id,Name,PreEffectId,PreBindPoint,PreDuration,LoopEffectId,LoopBindPoint,EndEffectId,EndBindPoint,EndDuration
100001,,100001,回血,10001101_begin,bind_root,0.5,10001101_loop,bind_root,10001101_end,bind_root,0.5
100002,,100002,回血,10001101_begin,bind_root,0.5,10001101_loop,bind_root,10001101_end,bind_root,0.5
100003,,100003,回血,10001101_begin,bind_root,0.5,10001101_loop,bind_root,10001101_end,bind_root,0.5
1000031,,1000031,回血,10001101_begin,bind_root,0.5,10001101_loop,bind_root,10001101_end,bind_root,0.5
1000032,,1000032,物攻,fx_200001_skill02_begin,bind_root,1.2,fx_200001_skill02_loop,bind_hp,,,
100004,,100004,物攻,fx_200001_skill02_begin,bind_root,1.2,fx_200001_skill02_loop,bind_hp,,,
200001021,,200001021,,fx_200001_skill02_begin,bind_root,1.2,fx_200001_skill02_loop,bind_hp,,,
200001031,,200001031,,,,,fx_200001_skill03_loop,bind_hp,,,0.5
200001032,,200001032,,,,,500008_loop,bind_hp,,,
201001031,,201001031,,,,,,,,,
201001041,,201001041,,,,,,,,,
201012031,,201012031,,,,,,,,,
201012041,,201012041,,,,,,,,,
204001011,,204001011,,500016_begin,bind_root,0.5,500016_loop,bind_root,500016_end,bind_root,0.5
204001012,,204001012,,500016_begin,bind_root,0.5,500016_loop,bind_root,500016_end,bind_root,0.5
404001012,,404001012,,500016_begin,bind_root,0.5,500016_loop,bind_root,500016_end,bind_root,0.5
204001031,,204001031,物防,,,,,,,,
204001041,,204001041,,,,,,,,,
204005011,,204005011,,,,,500016_loop,bind_root,500016_end,bind_root,0.5
204005012,,204005012,,,,,,,,,
204005021,,204005021,,,,,500006_loop,bind_root,,,
204005031,,204005031,,,,,,,,,
204005032,,204005032,,,,,,,,,
204005041,,204005041,,,,,,,,,
200003011,,200003011,,,,,500001_loop,bind_hp,,,
200003021,,200003021,,,,,500001_loop,bind_hp,,,
200003031,,200003031,,,,,,,,,
200003032,,200003032,,,,,fx_200003_skill03_loop,fx_03,,,
200011011,,200011011,,,,,500001_loop,bind_hp,,,
200011021,,200011021,,,,,,,,,
200011022,,200011022,,,,,,,,,
200011023,,200011023,,,,,500001_loop,bind_hp,,,
200011031,,200011031,,fx_200001_skill02_begin,bind_root,1.2,fx_200001_skill02_loop,bind_hp,,,
203004011,,203004011,,,,,,,,,
203004021,,203004021,,,,,fx_203004_skill03,bind_root,,,
203004041,,203004041,,,,,,,,,
202004031,,202004031,,,,,,,,,
203013021,,203013021,,,,,fx_203013_skill03,bind_root,,,
203013031,,203013031,,,,,,,,,
203013041,,203013041,,fx_204001_skill04_pre,hit,1.5,fx_204001_skill04_Loop,hit,fx_204001_skill04_end,hit,0.6
204002021,,204002021,,,,,500025_loop,hit,,,0.6
204002041,,204002041,,,,,,,,,
202001011,,202001011,,,,,500001_loop,bind_hp,,,
200010011,,200010011,,,,,500001_loop,bind_hp,,,
200010021,,200010021,,,,,500001_loop,bind_hp,,,
200010031,,200010031,,,,,500013_loop,bind_hp,,,
200010041,,200010041,,,,,500001_loop,bind_hp,,,
204006011,,204006011,,,,,,,,,
204006021,,204006021,,,,,,,,,
204006031,,204006031,,,,,500025_loop,hit,,,0.6
200004011,,200004011,,,,,fx_200004_skill01_buff,bind_hp,,,
200004021,,200004021,,,,,500002_loop,bind_hp,,,
200004031,,200004031,,fx_200001_skill02_begin,bind_root,1.2,fx_200001_skill02_loop,bind_hp,,,
200004041,,200004041,,,,,,,,,
201004011,,201004011,,,,,,,,,
201004012,,201004012,,,,,,,,,
201004041,,201004041,,,,,500008_loop,bind_hp,,,
401004011,,401004011,,,,,,,,,
401004012,,401004012,,,,,,,,,
401004041,,401004041,,,,,500008_loop,bind_hp,,,
204008011,,204008011,,,,,,,,,
204008021,,204008021,,,,,fx_204008_skill02_loop,hit,,,
204008031,,204008031,,,,,500022_loop,hit,,,
204008041,,204008041,,,,,,,,,
203010031,,203010031,,fx_204001_skill04_pre,hit,1.5,fx_204001_skill04_Loop,hit,fx_204001_skill04_end,hit,0.8
203010041,,203010041,,,,,,,,,
203008011,,203008011,,,,,fx_203008_skill01_loop,bind_root,,,
203008021,,203008021,,,,,500032_loop,bind_hp,,,
203008031,,203008031,能量,,,,,,,,
203008032,,203008032,,fx_203008_skill02_1,bind_root,1.5,fx_203008_skill02_buff,bind_root,,,
203008041,,203008041,,,,,,,,,
203007011,,203007011,,,,,,,,,
203007021,,203007021,,,,,500006_loop,bind_root,,,
203007031,,203007031,,,,,,,,,
203007041,,203007041,,,,,,,,,
202005021,,202005021,沉默,,,,500005_loop,bind_hp,,,
202005031,,202005031,,,,,,,,,
203002031,,203002031,,,,,,,,,
203002041,,203002041,,,,,,,,,
203002042,,203002042,,,,,,,,,
203002043,,203002043,,,,,,,,,
201005011,,201005011,,,,,,,,,
201005021,,201005021,,,,,fx_201005_skill02_loop,bind_hp,,,
201005031,,201005031,,,,,,,,,
204004011,,204004011,,,,,,,,,
204004021,,204004021,,,,,fx_204004_skill02buff_loop,bind_hp,,,
204004031,,204004031,,,,,,,,,
204004041,,204004041,,,,,,,,,
204003011,,204003011,,,,1,,,,,1
500018051,,500018051,,,,,,,,,
204003021,,204003021,,,,,500001_loop,bind_hp,,,
204003031,,204003031,,fx_204001_skill04_pre,hit,1.5,fx_204001_skill04_Loop,hit,fx_204001_skill04_end,hit,0.8
204003041,,204003041,,fx_204001_skill04_pre,hit,1.5,fx_204001_skill04_Loop,hit,fx_204001_skill04_end,hit,0.8
500018031,,500018031,,,,,500001_loop,bind_hp,,,
203001011,,203001011,,,,,500001_loop,bind_hp,,,
203001021,,203001021,,,,,,,,,
203001031,,203001031,,,,,,,,,
203001041,,203001041,,,,,,,,,
200002011,,200002011,,,,,500001_loop,bind_hp,,,
200002021,,200002021,,,,,500001_loop,bind_hp,,,
200002022,,200002022,,,,,500012_loop,bind_hp,,,
200002031,,200002031,能量,,,,,,,,
200002032,,200002032,,,,,,,,,
203003011,,203003011,,,,,500001_loop,bind_hp,,,
500003031,,500003031,,,,,,,,,
203011011,,203011011,,,,,fx_203011_skill01_buff,bind_root,,,1
203011012,,203011012,生命,,,,,,,,
203011013,,203011013,,,,,,,,,
203011021,,203011021,,,,,,,,,
203011022,,203011022,,,,,,,,,
203011031,,203011031,,,,,,,,,
203011041,,203011041,生命,,,,,,,,
203011042,,203011042,,,,,,,,,
202010021,,202010021,,,,,,,,,
202010031,,202010031,,,,,500001_loop,bind_hp,,,
202010041,,202010041,,,,,,,,,
200009011,,200009011,,fx_200010_buff_begin,hit,0.5,fx_200010_buff_loop,hit,fx_200010_buff_end,hit,0.5
200009012,,200009012,,fx_204001_skill04_pre,hit,1.5,fx_204001_skill04_Loop,hit,fx_204001_skill04_end,hit,0.8
200009021,,200009021,,,,,500001_loop,bind_hp,,,
200009031,,200009031,,,,,,,,,
202006011,,202006011,,,,,fx_202006_skill03_loop,hit,,,
202006012,,202006012,,,,,,,,,
202006031,,202006031,,,,,,,,,
200012011,,200012011,,,,1.1,,,,,
200012021,,200012021,,,,,fx_200012_skill02_hit_end,bind_root,,,
200012022,,200012022,,,,,,,,,
202002021,,202002021,灼烧,,,,500004_loop,hit,,,
202002022,,202002022,,,,,,,,,
202002031,,202002031,,,,,,,fx_202002_skill02_hit,hit,0.8
201007021,,201007021,能量,,,,,,,,
900101001,,900101001,物免,,,,500024_loop_01,bind_root,,,
900102001,,900102001,法免,,,,500023_loop_01,bind_root,,,
900103001,,900103001,无法控制,,,,,,,,
300103001,,300103001,,,,,500001_loop,bind_hp,,,
300003001,,300003001,,,,,500001_loop,bind_hp,,,
300010001,,300010001,法防,,,,500009_loop,bind_hp,,,
300010011,,300010011,法防,,,,500009_loop,bind_hp,,,
300110001,,300110001,法防,,,,500009_loop,bind_hp,,,
300110011,,300110011,法防,,,,500009_loop,bind_hp,,,
300012001,,300012001,,,,,500001_loop,bind_hp,,,
300212001,,300212001,,,,,500001_loop,bind_hp,,,
300013001,,300013001,灼烧,,,,500004_loop,hit,,,
300015001,,300015001,,,,,500031_loop,hit,,,
300016001,,300016001,灼烧,,,,500004_loop,hit,,,
300216001,,300216001,灼烧,,,,500004_loop,hit,,,
300318001,,300318001,法防,,,,500009_loop,bind_hp,,,
602402011,,602402011,物防法防,,,,,,,,
602401011,,602401011,物防法防,,,,,,,,
602401021,,602401021,物攻法攻,,,,,,,,
602403011,,602403011,物防法防,,,,,,,,
602403021,,602403021,物攻法攻,,,,,,,,
102003011,,102003011,眩晕,,,,500001_loop,bind_hp,,,
102016011,,102016011,眩晕,,,,500001_loop,bind_hp,,,
102016012,,102016012,净化,,,,,,,,
602101011,,602101011,,,,,,,,,
602102011,,602102011,,,,,,,,,
602102021,,602102021,,,,,,,,,
602103011,,602103011,,,,,,,,,
602103021,,602103021,,,,,,,,,
602104011,,602104011,,,,,,,,,
602104021,,602104021,,,,,,,,,
602104031,,602104031,,,,,,,,,
602201011,,602201011,,,,,,,,,
602202011,,602202011,,,,,,,,,
602202021,,602202021,,,,,,,,,
602203011,,602203011,,,,,,,,,
602203021,,602203021,,,,,,,,,
602204011,,602204011,,,,,,,,,
602204021,,602204021,,,,,,,,,
602204031,,602204031,,,,,,,,,
602105011,,602105011,,,,,,,,,
602106011,,602106011,,,,,,,,,
602106021,,602106021,,,,,,,,,
602107011,,602107011,,,,,,,,,
602107021,,602107021,,,,,,,,,
602108011,,602108011,,,,,,,,,
602108021,,602108021,,,,,,,,,
602205011,,602205011,,,,,,,,,
602206011,,602206011,,,,,,,,,
602206021,,602206021,,,,,,,,,
602207011,,602207011,,,,,,,,,
602207021,,602207021,,,,,,,,,
602208011,,602208011,,,,,,,,,
602208021,,602208021,,,,,,,,,
103003011,,103003011,物防法防,,,,500009_loop,bind_hp,,,
103004011,,103004011,物防法防,,,,500009_loop,bind_hp,,,
103103011,,103103011,物防法防,,,,500009_loop,bind_hp,,,
103104011,,103104011,物防法防,,,,500009_loop,bind_hp,,,
103005011,,103005011,,,,,500022_loop,hit,,,
103006011,,103006011,,,,,500022_loop,hit,,,
103007011,,103007011,,,,,500022_loop,hit,,,
103007012,,103007012,,500016_begin,bind_root,0.5,500016_loop,bind_root,500016_end,bind_root,0.5
103008011,,103008011,,,,,500022_loop,hit,,,
103008012,,103008012,,500016_begin,bind_root,0.5,500016_loop,bind_root,500016_end,bind_root,0.5
103008013,,103008013,净化,,,,,,,,
103105011,,103105011,,,,,500025_loop,hit,,,
103106011,,103106011,,,,,500025_loop,hit,,,
103107011,,103107011,,,,,500025_loop,hit,,,
103107012,,103107012,,500016_begin,bind_root,0.5,500016_loop,bind_root,500016_end,bind_root,0.5
103108011,,103108011,,,,,500025_loop,hit,,,
103108012,,103108012,,500016_begin,bind_root,0.5,500016_loop,bind_root,500016_end,bind_root,0.5
103108013,,103108013,净化,,,,,,,,
602309011,,602309011,生命,,,,,,,,
602310011,,602310011,生命,,,,,,,,
602310021,,602310021,,,,,,,,,
602311011,,602311011,生命,,,,,,,,
602311021,,602311021,,,,,,,,,
602312011,,602312011,生命,,,,,,,,
602312021,,602312021,,,,,,,,,
602312031,,602312031,减免,,,,,,,,
602313011,,602313011,生命,,,,,,,,
602314011,,602314011,生命,,,,,,,,
602314021,,602314021,,,,,,,,,
602315011,,602315011,生命,,,,,,,,
602315021,,602315021,,,,,,,,,
602316011,,602316011,生命,,,,,,,,
602316021,,602316021,,,,,,,,,
602316031,,602316031,减免,,,,,,,,
500004021,,500004021,物防,,,,,,,,
500004011,,500004011,物防,,,,,,,,
500005031,,500005031,法防,,,,,,,,
500005041,,500005041,法防,,,,,,,,
301020031,,301020031,减少,,,,,,,,
200006021,,200006021,法攻,,,,,,,,
200006031,,200006031,吸收,,,,500025_loop,hit,,,
100005021,,100005021,灼烧,,,,500004_loop,hit,,,
100005031,,100005031,眩晕,,,,500001_loop,bind_hp,,,
101002021,,101002021,灼烧,,,,500004_loop,hit,,,
101002031,,101002031,眩晕,,,,500001_loop,bind_hp,,,
100002031,,100002031,能量,,,,,,,,
101005031,,101005031,能量,,,,,,,,
100011041,,100011041,,,,,,,,,
101011041,,101011041,,,,,,,,,
