key,Remarks,uniqueId,itemModelId,conditionLevel,nextID,type,subType,recordOldData,heroModelID,fettersName,fettersDesc,fettersAttrDesc,fettersAttrData,fettersPrecentAttrData,subConditionValue,seq
2040010601,,2040010601,20400101,1,2040010602,2,1,,204001,雾露愈心,,Lv.1 神器觉醒到达1星并强化至10级：法术攻击+300,法术攻击_300,,2_1;3_10,1
2040010602,,2040010602,20400101,2,2040010603,2,1,,204001,雾露愈心,,Lv.2 神器觉醒到达2星并强化至20级：法术攻击+900,法术攻击_900,,2_2;3_20,1
2040010603,,2040010603,20400101,3,2040010604,2,1,,204001,雾露愈心,,Lv.3 神器觉醒到达3星并强化至30级：法术攻击+1500,法术攻击_1500,,2_3;3_30,1
2040010604,,2040010604,20400101,4,2040010605,2,1,,204001,雾露愈心,,Lv.4 神器觉醒到达4星并强化至40级：法术攻击+2100,法术攻击_2100,,2_4;3_40,1
2040010605,,2040010605,20400101,5,,2,1,,204001,雾露愈心,,Lv.5 神器觉醒到达5星并强化至50级：法术攻击+2700,法术攻击_2700,,2_5;3_50,1
2010120601,,2010120601,20101201,1,2010120602,2,2,,201012,业火长枪,,Lv.1 神器觉醒到达1星并强化至10级：法术攻击+300,法术攻击_300,,2_1;3_10,1
2010120602,,2010120602,20101201,2,2010120603,2,2,,201012,业火长枪,,Lv.2 神器觉醒到达2星并强化至20级：法术攻击+900,法术攻击_900,,2_2;3_20,1
2010120603,,2010120603,20101201,3,2010120604,2,2,,201012,业火长枪,,Lv.3 神器觉醒到达3星并强化至30级：法术攻击+1500,法术攻击_1500,,2_3;3_30,1
2010120604,,2010120604,20101201,4,2010120605,2,2,,201012,业火长枪,,Lv.4 神器觉醒到达4星并强化至40级：法术攻击+2100,法术攻击_2100,,2_4;3_40,1
2010120605,,2010120605,20101201,5,,2,2,,201012,业火长枪,,Lv.5 神器觉醒到达5星并强化至50级：法术攻击+2700,法术攻击_2700,,2_5;3_50,1
2000110601,,2000110601,20001101,1,2000110602,2,3,,200011,雷电巨锤,,Lv.1 神器觉醒到达1星并强化至10级：物理攻击+300,物理攻击_300,,2_1;3_10,1
2000110602,,2000110602,20001101,2,2000110603,2,3,,200011,雷电巨锤,,Lv.2 神器觉醒到达2星并强化至20级：物理攻击+900,物理攻击_900,,2_2;3_20,1
2000110603,,2000110603,20001101,3,2000110604,2,3,,200011,雷电巨锤,,Lv.3 神器觉醒到达3星并强化至30级：物理攻击+1500,物理攻击_1500,,2_3;3_30,1
2000110604,,2000110604,20001101,4,2000110605,2,3,,200011,雷电巨锤,,Lv.4 神器觉醒到达4星并强化至40级：物理攻击+2100,物理攻击_2100,,2_4;3_40,1
2000110605,,2000110605,20001101,5,,2,3,,200011,雷电巨锤,,Lv.5 神器觉醒到达5星并强化至50级：物理攻击+2700,物理攻击_2700,,2_5;3_50,1
2020010601,,2020010601,20200101,1,2020010602,2,4,,202001,打神法鞭,,Lv.1 神器觉醒到达1星并强化至10级：物理攻击+300,物理攻击_300,,2_1;3_10,1
2020010602,,2020010602,20200101,2,2020010603,2,4,,202001,打神法鞭,,Lv.2 神器觉醒到达2星并强化至20级：物理攻击+900,物理攻击_900,,2_2;3_20,1
2020010603,,2020010603,20200101,3,2020010604,2,4,,202001,打神法鞭,,Lv.3 神器觉醒到达3星并强化至30级：物理攻击+1500,物理攻击_1500,,2_3;3_30,1
2020010604,,2020010604,20200101,4,2020010605,2,4,,202001,打神法鞭,,Lv.4 神器觉醒到达4星并强化至40级：物理攻击+2100,物理攻击_2100,,2_4;3_40,1
2020010605,,2020010605,20200101,5,,2,4,,202001,打神法鞭,,Lv.5 神器觉醒到达5星并强化至50级：物理攻击+2700,物理攻击_2700,,2_5;3_50,1
2020020601,,2020020601,20200201,1,2020020602,2,5,,202002,浑天宝绫,,Lv.1 神器觉醒到达1星并强化至10级：法术攻击+300,法术攻击_300,,2_1;3_10,1
2020020602,,2020020602,20200201,2,2020020603,2,5,,202002,浑天宝绫,,Lv.2 神器觉醒到达2星并强化至20级：法术攻击+900,法术攻击_900,,2_2;3_20,1
2020020603,,2020020603,20200201,3,2020020604,2,5,,202002,浑天宝绫,,Lv.3 神器觉醒到达3星并强化至30级：法术攻击+1500,法术攻击_1500,,2_3;3_30,1
2020020604,,2020020604,20200201,4,2020020605,2,5,,202002,浑天宝绫,,Lv.4 神器觉醒到达4星并强化至40级：法术攻击+2100,法术攻击_2100,,2_4;3_40,1
2020020605,,2020020605,20200201,5,,2,5,,202002,浑天宝绫,,Lv.5 神器觉醒到达5星并强化至50级：法术攻击+2700,法术攻击_2700,,2_5;3_50,1
2010010601,,2010010601,20100101,1,2010010602,2,6,,201001,天眼神枪,,Lv.1 神器觉醒到达1星并强化至10级：物理攻击+300,物理攻击_300,,2_1;3_10,1
2010010602,,2010010602,20100101,2,2010010603,2,6,,201001,天眼神枪,,Lv.2 神器觉醒到达2星并强化至20级：物理攻击+900,物理攻击_900,,2_2;3_20,1
2010010603,,2010010603,20100101,3,2010010604,2,6,,201001,天眼神枪,,Lv.3 神器觉醒到达3星并强化至30级：物理攻击+1500,物理攻击_1500,,2_3;3_30,1
2010010604,,2010010604,20100101,4,2010010605,2,6,,201001,天眼神枪,,Lv.4 神器觉醒到达4星并强化至40级：物理攻击+2100,物理攻击_2100,,2_4;3_40,1
2010010605,,2010010605,20100101,5,,2,6,,201001,天眼神枪,,Lv.5 神器觉醒到达5星并强化至50级：物理攻击+2700,物理攻击_2700,,2_5;3_50,1
2010050601,,2010050601,20100501,1,2010050602,2,8,,201005,青峰疾刃,,Lv.1 神器觉醒到达1星并强化至10级：物理攻击+300,物理攻击_300,,2_1;3_10,1
2010050602,,2010050602,20100501,2,2010050603,2,8,,201005,青峰疾刃,,Lv.2 神器觉醒到达2星并强化至20级：物理攻击+900,物理攻击_900,,2_2;3_20,1
2010050603,,2010050603,20100501,3,2010050604,2,8,,201005,青峰疾刃,,Lv.3 神器觉醒到达3星并强化至30级：物理攻击+1500,物理攻击_1500,,2_3;3_30,1
2010050604,,2010050604,20100501,4,2010050605,2,8,,201005,青峰疾刃,,Lv.4 神器觉醒到达4星并强化至40级：物理攻击+2100,物理攻击_2100,,2_4;3_40,1
2010050605,,2010050605,20100501,5,,2,8,,201005,青峰疾刃,,Lv.5 神器觉醒到达5星并强化至50级：物理攻击+2700,物理攻击_2700,,2_5;3_50,1
2010040601,,2010040601,20100401,1,2010040602,2,9,,201004,踏风双剑,,Lv.1 神器觉醒到达1星并强化至10级：物理攻击+300,物理攻击_300,,2_1;3_10,1
2010040602,,2010040602,20100401,2,2010040603,2,9,,201004,踏风双剑,,Lv.2 神器觉醒到达2星并强化至20级：物理攻击+900,物理攻击_900,,2_2;3_20,1
2010040603,,2010040603,20100401,3,2010040604,2,9,,201004,踏风双剑,,Lv.3 神器觉醒到达3星并强化至30级：物理攻击+1500,物理攻击_1500,,2_3;3_30,1
2010040604,,2010040604,20100401,4,2010040605,2,9,,201004,踏风双剑,,Lv.4 神器觉醒到达4星并强化至40级：物理攻击+2100,物理攻击_2100,,2_4;3_40,1
2010040605,,2010040605,20100401,5,,2,9,,201004,踏风双剑,,Lv.5 神器觉醒到达5星并强化至50级：物理攻击+2700,物理攻击_2700,,2_5;3_50,1
2020040601,,2020040601,20200401,1,2020040602,2,10,,202004,风雷之翅,,Lv.1 神器觉醒到达1星并强化至10级：法术攻击+300,法术攻击_300,,2_1;3_10,1
2020040602,,2020040602,20200401,2,2020040603,2,10,,202004,风雷之翅,,Lv.2 神器觉醒到达2星并强化至20级：法术攻击+900,法术攻击_900,,2_2;3_20,1
2020040603,,2020040603,20200401,3,2020040604,2,10,,202004,风雷之翅,,Lv.3 神器觉醒到达3星并强化至30级：法术攻击+1500,法术攻击_1500,,2_3;3_30,1
2020040604,,2020040604,20200401,4,2020040605,2,10,,202004,风雷之翅,,Lv.4 神器觉醒到达4星并强化至40级：法术攻击+2100,法术攻击_2100,,2_4;3_40,1
2020040605,,2020040605,20200401,5,,2,10,,202004,风雷之翅,,Lv.5 神器觉醒到达5星并强化至50级：法术攻击+2700,法术攻击_2700,,2_5;3_50,1
2040040601,,2040040601,20400401,1,2040040602,2,11,,204004,万光宝塔,,Lv.1 神器觉醒到达1星并强化至10级：物理攻击+300,物理攻击_300,,2_1;3_10,1
2040040602,,2040040602,20400401,2,2040040603,2,11,,204004,万光宝塔,,Lv.2 神器觉醒到达2星并强化至20级：物理攻击+900,物理攻击_900,,2_2;3_20,1
2040040603,,2040040603,20400401,3,2040040604,2,11,,204004,万光宝塔,,Lv.3 神器觉醒到达3星并强化至30级：物理攻击+1500,物理攻击_1500,,2_3;3_30,1
2040040604,,2040040604,20400401,4,2040040605,2,11,,204004,万光宝塔,,Lv.4 神器觉醒到达4星并强化至40级：物理攻击+2100,物理攻击_2100,,2_4;3_40,1
2040040605,,2040040605,20400401,5,,2,11,,204004,万光宝塔,,Lv.5 神器觉醒到达5星并强化至50级：物理攻击+2700,物理攻击_2700,,2_5;3_50,1
2020060601,,2020060601,20200601,1,2020060602,2,12,,202006,不灭赤焰,,Lv.1 神器觉醒到达1星并强化至10级：法术攻击+300,法术攻击_300,,2_1;3_10,1
2020060602,,2020060602,20200601,2,2020060603,2,12,,202006,不灭赤焰,,Lv.2 神器觉醒到达2星并强化至20级：法术攻击+900,法术攻击_900,,2_2;3_20,1
2020060603,,2020060603,20200601,3,2020060604,2,12,,202006,不灭赤焰,,Lv.3 神器觉醒到达3星并强化至30级：法术攻击+1500,法术攻击_1500,,2_3;3_30,1
2020060604,,2020060604,20200601,4,2020060605,2,12,,202006,不灭赤焰,,Lv.4 神器觉醒到达4星并强化至40级：法术攻击+2100,法术攻击_2100,,2_4;3_40,1
2020060605,,2020060605,20200601,5,,2,12,,202006,不灭赤焰,,Lv.5 神器觉醒到达5星并强化至50级：法术攻击+2700,法术攻击_2700,,2_5;3_50,1
2040030601,,2040030601,20400301,1,2040030602,2,13,,204003,裂石战拳,,Lv.1 神器觉醒到达1星并强化至10级：物理攻击+300,物理攻击_300,,2_1;3_10,1
2040030602,,2040030602,20400301,2,2040030603,2,13,,204003,裂石战拳,,Lv.2 神器觉醒到达2星并强化至20级：物理攻击+900,物理攻击_900,,2_2;3_20,1
2040030603,,2040030603,20400301,3,2040030604,2,13,,204003,裂石战拳,,Lv.3 神器觉醒到达3星并强化至30级：物理攻击+1500,物理攻击_1500,,2_3;3_30,1
2040030604,,2040030604,20400301,4,2040030605,2,13,,204003,裂石战拳,,Lv.4 神器觉醒到达4星并强化至40级：物理攻击+2100,物理攻击_2100,,2_4;3_40,1
2040030605,,2040030605,20400301,5,,2,13,,204003,裂石战拳,,Lv.5 神器觉醒到达5星并强化至50级：物理攻击+2700,物理攻击_2700,,2_5;3_50,1
2030020601,,2030020601,20300201,1,2030020602,2,14,,203002,黄泉游者,,Lv.1 神器觉醒到达1星并强化至10级：物理攻击+300,物理攻击_300,,2_1;3_10,1
2030020602,,2030020602,20300201,2,2030020603,2,14,,203002,黄泉游者,,Lv.2 神器觉醒到达2星并强化至20级：物理攻击+900,物理攻击_900,,2_2;3_20,1
2030020603,,2030020603,20300201,3,2030020604,2,14,,203002,黄泉游者,,Lv.3 神器觉醒到达3星并强化至30级：物理攻击+1500,物理攻击_1500,,2_3;3_30,1
2030020604,,2030020604,20300201,4,2030020605,2,14,,203002,黄泉游者,,Lv.4 神器觉醒到达4星并强化至40级：物理攻击+2100,物理攻击_2100,,2_4;3_40,1
2030020605,,2030020605,20300201,5,,2,14,,203002,黄泉游者,,Lv.5 神器觉醒到达5星并强化至50级：物理攻击+2700,物理攻击_2700,,2_5;3_50,1
2030030601,,2030030601,20300301,1,2030030602,2,15,,203003,熊猫大师,,Lv.1 神器觉醒到达1星并强化至10级：法术攻击+300,法术攻击_300,,2_1;3_10,1
2030030602,,2030030602,20300301,2,2030030603,2,15,,203003,熊猫大师,,Lv.2 神器觉醒到达2星并强化至20级：法术攻击+900,法术攻击_900,,2_2;3_20,1
2030030603,,2030030603,20300301,3,2030030604,2,15,,203003,熊猫大师,,Lv.3 神器觉醒到达3星并强化至30级：法术攻击+1500,法术攻击_1500,,2_3;3_30,1
2030030604,,2030030604,20300301,4,2030030605,2,15,,203003,熊猫大师,,Lv.4 神器觉醒到达4星并强化至40级：法术攻击+2100,法术攻击_2100,,2_4;3_40,1
2030030605,,2030030605,20300301,5,,2,15,,203003,熊猫大师,,Lv.5 神器觉醒到达5星并强化至50级：法术攻击+2700,法术攻击_2700,,2_5;3_50,1
2000020601,,2000020601,20000201,1,2000020602,2,16,,200002,九龙拳风,,Lv.1 神器觉醒到达1星并强化至10级：物理攻击+300,物理攻击_300,,2_1;3_10,1
2000020602,,2000020602,20000201,2,2000020603,2,16,,200002,九龙拳风,,Lv.2 神器觉醒到达2星并强化至20级：物理攻击+900,物理攻击_900,,2_2;3_20,1
2000020603,,2000020603,20000201,3,2000020604,2,16,,200002,九龙拳风,,Lv.3 神器觉醒到达3星并强化至30级：物理攻击+1500,物理攻击_1500,,2_3;3_30,1
2000020604,,2000020604,20000201,4,2000020605,2,16,,200002,九龙拳风,,Lv.4 神器觉醒到达4星并强化至40级：物理攻击+2100,物理攻击_2100,,2_4;3_40,1
2000020605,,2000020605,20000201,5,,2,16,,200002,九龙拳风,,Lv.5 神器觉醒到达5星并强化至50级：物理攻击+2700,物理攻击_2700,,2_5;3_50,1
2040060601,,2040060601,20400601,1,2040060602,2,17,,204006,护佑赤伞,,Lv.1 神器觉醒到达1星并强化至10级：物理攻击+300,物理攻击_300,,2_1;3_10,1
2040060602,,2040060602,20400601,2,2040060603,2,17,,204006,护佑赤伞,,Lv.2 神器觉醒到达2星并强化至20级：物理攻击+900,物理攻击_900,,2_2;3_20,1
2040060603,,2040060603,20400601,3,2040060604,2,17,,204006,护佑赤伞,,Lv.3 神器觉醒到达3星并强化至30级：物理攻击+1500,物理攻击_1500,,2_3;3_30,1
2040060604,,2040060604,20400601,4,2040060605,2,17,,204006,护佑赤伞,,Lv.4 神器觉醒到达4星并强化至40级：物理攻击+2100,物理攻击_2100,,2_4;3_40,1
2040060605,,2040060605,20400601,5,,2,17,,204006,护佑赤伞,,Lv.5 神器觉醒到达5星并强化至50级：物理攻击+2700,物理攻击_2700,,2_5;3_50,1
2000010601,,2000010601,20000101,1,2000010602,2,18,,200001,灭魔火炮,,Lv.1 神器觉醒到达1星并强化至10级：物理攻击+300,物理攻击_300,,2_1;3_10,1
2000010602,,2000010602,20000101,2,2000010603,2,18,,200001,灭魔火炮,,Lv.2 神器觉醒到达2星并强化至20级：物理攻击+900,物理攻击_900,,2_2;3_20,1
2000010603,,2000010603,20000101,3,2000010604,2,18,,200001,灭魔火炮,,Lv.3 神器觉醒到达3星并强化至30级：物理攻击+1500,物理攻击_1500,,2_3;3_30,1
2000010604,,2000010604,20000101,4,2000010605,2,18,,200001,灭魔火炮,,Lv.4 神器觉醒到达4星并强化至40级：物理攻击+2100,物理攻击_2100,,2_4;3_40,1
2000010605,,2000010605,20000101,5,,2,18,,200001,灭魔火炮,,Lv.5 神器觉醒到达5星并强化至50级：物理攻击+2700,物理攻击_2700,,2_5;3_50,1
2000030601,,2000030601,20000301,1,2000030602,2,19,,200003,降魔尊者,,Lv.1 神器觉醒到达1星并强化至10级：物理攻击+300,物理攻击_300,,2_1;3_10,1
2000030602,,2000030602,20000301,2,2000030603,2,19,,200003,降魔尊者,,Lv.2 神器觉醒到达2星并强化至20级：物理攻击+900,物理攻击_900,,2_2;3_20,1
2000030603,,2000030603,20000301,3,2000030604,2,19,,200003,降魔尊者,,Lv.3 神器觉醒到达3星并强化至30级：物理攻击+1500,物理攻击_1500,,2_3;3_30,1
2000030604,,2000030604,20000301,4,2000030605,2,19,,200003,降魔尊者,,Lv.4 神器觉醒到达4星并强化至40级：物理攻击+2100,物理攻击_2100,,2_4;3_40,1
2000030605,,2000030605,20000301,5,,2,19,,200003,降魔尊者,,Lv.5 神器觉醒到达5星并强化至50级：物理攻击+2700,物理攻击_2700,,2_5;3_50,1
