Key,Remarks,modelId,combineUse,useEffectClass,directResult,dropResult
805001,,805001,,com.rw.service.item.useeffect.impl.UsePowerCardEffectImpl,50,
802005,,802005,,com.rw.service.item.useeffect.impl.UseVipCardEffectImpl,1,
802006,,802006,,com.rw.service.item.useeffect.impl.UseVipCardEffectImpl,2,
802007,,802007,,com.rw.service.item.useeffect.impl.UseVipCardEffectImpl,3,
802008,,802008,,com.rw.service.item.useeffect.impl.UseVipCardEffectImpl,4,
802009,,802009,,com.rw.service.item.useeffect.impl.UseVipCardEffectImpl,5,
802010,,802010,,com.rw.service.item.useeffect.impl.UseVipCardEffectImpl,6,
802011,,802011,,com.rw.service.item.useeffect.impl.UseVipCardEffectImpl,7,
802012,,802012,,com.rw.service.item.useeffect.impl.UseVipCardEffectImpl,8,
802013,,802013,,com.rw.service.item.useeffect.impl.UseVipCardEffectImpl,9,
802014,,802014,,com.rw.service.item.useeffect.impl.UseVipCardEffectImpl,10,
802015,,802015,,com.rw.service.item.useeffect.impl.UseVipCardEffectImpl,11,
802016,,802016,,com.rw.service.item.useeffect.impl.UseVipCardEffectImpl,12,
802017,,802017,,com.rw.service.item.useeffect.impl.UseVipCardEffectImpl,13,
802018,,802018,,com.rw.service.item.useeffect.impl.UseVipCardEffectImpl,14,
802019,,802019,,com.rw.service.item.useeffect.impl.UseVipCardEffectImpl,15,
806101,,806101,806102_1,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,97501;97501;97501;97501
806103,,806103,2_100,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,97501;97501;97501;97501
806104,,806104,1_50000,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,97501;97501;97501;97501
806105,,806105,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35001;35002;35003;35004;35005;35006
806106,,806106,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35007;35008;35009;35010;35011;35012
806107,,806107,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35013;35014;35015;35016;35017;35018
806108,,806108,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35019;35020;35021;35022;35023;35024
806109,,806109,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35025;35026;35027;35028;35029;35030
806110,,806110,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35031;35032;35033;35034;35035;35036
806111,,806111,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35037;35038;35039;35040;35041;35042
806112,,806112,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35043;35044;35045;35046;35047;35048
806113,,806113,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35049;35050;35051;35052;35053;35054
806114,,806114,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35055;35056;35057;35058;35059
806115,,806115,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35060;35061;35062;35063;35064
806116,,806116,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35065;35066;35067;35068;35069
806351,,806351,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,34025
806352,,806352,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,34026
806353,,806353,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,34027
