Key,Remarks,id,name,consumeType,enchantExp,type,quality,qualityName,property,stackNum,modleId,icon,atlas,description,skillId,skillId_passive,Skill_UnLock,upMagic,uplevel,goods,firstAptitude,upMagicCost,upMagicMoneyType,itemspit,sellPrice,energyReceive,attackType,struckEnergy,initialEnergy,magicType,composeItemID,composeNeedNum,composeCostCoin,magicRelease,disappearTime,offset
602005,,602005,青云剑,2,,,1,,6,1,603001,Skill/602005,Icon,召唤青云剑群攻击敌方后排，攻击附加眩晕效果,,,,602006,10,"804001_10,804002_2",,3000,1,魔礼青之物，剑上有印符，挥舞此剑如风雷滚动，威势非凡,1350,12,1,10,785,2,,,,,,
602008,,602008,乾坤尺,2,,,1,,8,1,603001,Skill/602313,Icon,召唤火系武神协助战斗,,,,602009,10,"804001_10,804002_2",,4000,1,燃灯道人宝物，内含乾坤一气，以世界阴阳乾坤合一形成，代表世界阴阳，和定海神珠相生相依,1350,12,,10,785,2,,,,,,
602015,,602015,莫邪剑,2,,,4,,1,1,603001,Skill/602015,Icon,召唤巨型光剑划破敌阵，攻击所有敌人,,,,602010,20,"804001_20,804002_4",,5000,1,此剑有雌雄即阴阳双剑，皆以锻造者的名字命名。阳剑干将赠与了王，阴剑莫邪留给了锻造者的儿子,3450,12,1,10,785,2,,,,,,
602006,,602006,无极盾,2,,,4,,2,1,603001,Skill/602006,Icon,横向划屏攻击，所有敌人受到3次伤害,,,,602017,20,"804001_20,804002_4",,7000,1,无极盾,3450,12,,10,785,2,,,,,,
602009,,602009,轮回镜,2,,,4,,9,1,603001,Skill/602009,Icon,召唤深渊统帅协助战斗,,,,0,0,,,,,轮回，是生与死的不断循环。只有无生，才能涅槃。轮回镜可以看清六道轮回之苦，超越轮回。,3450,12,1,10,785,2,,,,,,
602014,,602014,降魔杵,2,,,4,,1,1,603001,Skill/602014,Icon,召唤苍穹守卫协助战斗,,,,0,0,,,,,降魔杵,3450,12,,10,785,2,,,,,,
602007,,602007,素色云界旗,2,,,4,,3,1,603001,Skill/602007,Icon,氤氲遍地，异香笼罩。使己方所有单位持续回复生命,,,,0,0,,,,,四方旗之一，瑶池西王母瑶池之宝。瓷器展开氤氲遍地，一派异香笼罩。龙吉公主，曾用该法宝助姜子牙破殷郊的番天印,3450,12,1,10,785,2,,,,,,
602011,,602011,红砂阵,2,,,4,,5,1,603001,Skill/602011,Icon,上不知天，下不知地，中不知人。提升所有己方单位的物理防御,,,,0,0,,,,,红砂阵,3450,12,,10,785,2,,,,,,
602013,,602013,阴阳镜,2,,,4,,9,1,603001,Skill/602013,Icon,太极两仪，阴阳相生。提升所有己方单位的法术防御,,,,0,0,,,,,阴阳镜,3450,12,1,10,785,2,,,,,,
602010,,602010,天花妙坠旗,2,,,8,,2,1,603001,Skill/602010,Icon,朦胧乾坤，颠倒五行。降低所有敌方单位的生命回复效果,,,,602001,30,"804001_40,804002_8",,1000,1,天花妙坠旗,8700,12,1,10,785,2,,,,,,
602012,,602012,寒冰阵,2,,,8,,3,1,603001,Skill/602012,Icon,冰清玉洁，使己方所有单位回复能量,,,,602002,30,"804001_40,804002_8",,2000,1,该阵法不是一天功行就能练成，名为寒冰，实为刀山。内藏玄妙，中有风雷，上有冰山如狼牙，下游冰块如刀剑。,8700,12,,10,785,2,,,,,,
602001,,602001,诛仙剑,2,,,13,,9,1,603001,Skill/602001,Icon,召唤多把光剑切割敌阵，攻击敌方全体,,,,0,0,,,,,元素之剑,19500,12,1,10,785,2,,,,,,
602002,,602002,太极图,2,,,13,,3,1,603001,Skill/602002,Icon,所有己方角色消失，召唤出武神自动攻击，持续6秒，武神攻击附加冰冻效果,,,,0,0,,,,,太极图,19500,12,1,10,785,2,,,,,,
602017,,602017,青莲宝色旗,2,,,8,,5,1,603001,Skill/602017,Icon,召唤风雪女神协助战斗,,,,602027,30,"804001_40,804002_8",,1000,1,四方旗之一，接引道人法宝。祭起时，白气悬空，金光万道，呈莲花之像，异香奇彩。,8700,12,,10,785,2,,,,,,
602027,,602027,乾坤镜,2,,,13,,2,1,603001,Skill/602027,Icon,所有己方单位持续回复生命,,,,0,0,,,,,乾坤镜,19500,12,1,10,785,2,,,,,,
603999,,603999,剧情诛仙剑,2,,,13,,9,1,603004,Skill/602001,Icon,召唤多把光剑切割敌阵，攻击敌方全体,10200100,,,0,0,,,,,剧情诛仙剑,19500,10,1,95,,2,,,,Assets/Effect/Prefab/603004/fx_603004_action.prefab,0.7,
