key,remarks,skillName,tagNum,openLevel,order,skillIcon,attribute,formulaParam,formulaPrecentParam,attrValueType,consumeId,coinType
110001,,大武,1,28,1,Skill/daoshu_1001,physiqueAttack,物理攻击_6|6|0|0,,Value,101,Coin
110002,,大道,1,28,2,Skill/daoshu_1002,spiritAttack,法术攻击_6|6|0|0,,Value,101,Coin
110003,,抱元,1,28,3,Skill/daoshu_1003,life,生命_32|32|0|0,,Value,101,Coin
110004,,不动,1,28,4,Skill/daoshu_1004,physiqueDef,物理防御_2|2|0|0,,Value,101,Coin
110005,,无欲,1,28,5,Skill/daoshu_1005,spiritDef,法术防御_2|2|0|0,,Value,101,Coin
110006,,化生,1,28,6,Skill/daoshu_1006,lifeReceive,生命回复_7|7|0|0,,Value,101,Coin
130001,,神武,2,40,1,Skill/daoshu_2001,physiqueAttack,物理攻击_24|24|0|0,,Value,102,Coin
130002,,神道,2,40,2,Skill/daoshu_2002,spiritAttack,法术攻击_24|24|0|0,,Value,102,Coin
130003,,守元,2,40,3,Skill/daoshu_2003,life,生命_128|128|0|0,,Value,102,Coin
130004,,不移,2,40,4,Skill/daoshu_2004,physiqueDef,物理防御_8|8|0|0,,Value,102,Coin
210001,,无我,2,40,5,Skill/daoshu_2005,spiritDef,法术防御_8|8|0|0,,Value,102,Coin
210002,,归一,2,40,6,Skill/daoshu_2006,lifeReceive,生命回复_28|28|0|0,,Value,102,Coin
220001,,明心,3,50,1,Skill/daoshu_3001,hit,命中_5|5|0|0,,Value,103,Coin
220002,,奇门,3,50,2,Skill/daoshu_3002,dodge,闪避_5|5|0|0,,Value,103,Coin
220003,,天机,3,50,3,Skill/daoshu_3003,critical,暴击_5|5|0|0,,Value,103,Coin
230001,,天命,3,50,4,Skill/daoshu_3004,criticalHurt,暴击伤害_5|5|0|0,,Value,103,Coin
230002,,固本,3,50,5,Skill/daoshu_3005,toughness,韧性_5|5|0|0,,Value,103,Coin
